CSDUID,CSDNAME,PRUID,province,csd_area_km2,ecozone,ecozone_coverage_pct,road_length_km,total_area_km2_csd,canopy_area_km2_csd,canopy_proportion_csd,total_area_km2_10m_buffer,canopy_area_km2_10m_buffer,canopy_proportion_10m_buffer,total_area_km2_20m_buffer,canopy_area_km2_20m_buffer,canopy_proportion_20m_buffer,"Population, 2021","Population, 2016",Population Density (sq km),Land Area (sq km),"Population Change (%), 2016 to 2021",Number of Men,Men in Workforce,People in Workforce,"Number of Private Dwellings, 2021","Number of Private Dwellings, 2016","Number of Occupied Private Dwellings, 2021","Number of Occupied Private Dwellings, 2016",Average Household Size,"Total Private Dwellings Change (%), 2016 to 2021","Occupied Dwellings Change (%), 2016 to 2021",Number of Single-detached Houses,Number of Semi-detached Houses,Number of Row Houses,Number of Apartments (duplex),Number of Apartments (<5 story buildings),Number of Apartments (5+ story buildings),Number of Other Single-attached Houses,Number of Movable Dwellings,Total Dwellings by Type,Indigenous identity: total count,Indigenous identity: Indigenous identity count,Single Indigenous responses,Single Indigenous responses: First Nations,Single Indigenous responses: Métis,Single Indigenous responses: Inuit,Multiple Indigenous responses,Visible minority: total counts,Visible minority: Total visible minority population,Visible minority: South Asian,Visible minority: Chinese,Visible minority: Black,Visible minority: Filipino,Visible minority: Arab,Visible minority: Latin American,Visible minority: Southeast Asian,Visible minority: West Asian,Visible minority: Korean,Visible minority: Japanese,Visible minority: Multiple visible minorities,Visible minority: Not a visible minority,Indigenous identity: Indigenous identity count (%),Single Indigenous responses (%),Single Indigenous responses: First Nations (%),Single Indigenous responses: Métis (%),Single Indigenous responses: Inuit (%),Multiple Indigenous responses (%),Number of Single-detached Houses (%),Number of Semi-detached Houses (%),Number of Row Houses (%),Number of Apartments (duplex) (%),Number of Apartments (<5 story buildings) (%),Number of Apartments (5+ story buildings) (%),Number of Other Single-attached Houses (%),Number of Movable Dwellings (%),Visible minority: Total visible minority population (%),Visible minority: South Asian (%),Visible minority: Chinese (%),Visible minority: Black (%),Visible minority: Filipino (%),Visible minority: Arab (%),Visible minority: Latin American (%),Visible minority: Southeast Asian (%),Visible minority: West Asian (%),Visible minority: Korean (%),Visible minority: Japanese (%),Visible minority: Multiple visible minorities (%),Visible minority: Not a visible minority (%),Number of Men (%),Men in Workforce (%)
1206004,Bridgewater,12,Nova Scotia,14.674786454428158,Atlantic Maritime,100.0,75.75981544013929,14.090894635663837,7.542856018797542,53.53000085393222,1.4088322119998935,0.2714605515441872,19.268479896469582,2.7277689893492107,0.7393480781718275,27.10449752375184,8790.0,8532.0,644.9,13.63,3.0,4070.0,,,4493.0,4299.0,4260.0,4077.0,2.0,4.5,4.5,2050.0,215.0,95.0,120.0,1245.0,35.0,20.0,485.0,4260.0,,,,,,,,8495.0,450.0,170.0,60.0,60.0,65.0,30.0,25.0,10.0,0.0,10.0,0.0,10.0,8045.0,,,,,,,48.12,5.05,2.23,2.82,29.23,0.82,0.47,11.38,5.3,2.0,0.71,0.71,0.77,0.35,0.29,0.12,0.0,0.12,0.0,0.12,94.7,46.3,
1206006,Lunenburg,12,Nova Scotia,4.219143032966643,Atlantic Maritime,100.0,34.971767303582794,4.051051213755591,1.2395884633919665,30.599180261727334,0.6118746651822498,0.085499688,13.973399024153563,1.1332140790423606,0.1885331916394065,16.637032236550514,2396.0,2263.0,593.3,4.04,5.9,1065.0,,,1242.0,1206.0,1089.0,1040.0,2.0,3.0,4.7,765.0,25.0,15.0,45.0,235.0,0.0,5.0,0.0,1090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.18,2.29,1.38,4.13,21.56,0.0,0.46,0.0,,,,,,,,,,,,,,44.45,
1207024,Wolfville,12,Nova Scotia,6.704514373049958,Atlantic Maritime,100.0,36.092091476686974,6.481903201884447,1.7634561781775209,27.20583944642741,0.6724643759295041,0.1017517756321353,15.131177096406091,1.3034644471852077,0.2870516757874237,22.022209842953767,5057.0,4195.0,783.3,6.46,20.5,2330.0,,,2856.0,2585.0,2441.0,1972.0,2.0,10.5,23.8,850.0,105.0,105.0,105.0,1255.0,0.0,5.0,5.0,2440.0,,,,,,,,4855.0,615.0,150.0,110.0,180.0,10.0,40.0,20.0,35.0,15.0,0.0,15.0,15.0,4240.0,,,,,,,34.84,4.3,4.3,4.3,51.43,0.0,0.2,0.2,12.67,3.09,2.27,3.71,0.21,0.82,0.41,0.72,0.31,0.0,0.31,0.31,87.33,46.07,
1211011,Amherst,12,Nova Scotia,12.41481254062636,Atlantic Maritime,100.0,84.74745383276256,12.08537617624006,2.7163738618277717,22.47653546083392,1.562743313991658,0.139035368,8.896878106496077,2.9885936451945407,0.3346459190744764,11.197437952548842,9404.0,9413.0,779.4,12.07,-0.1,4420.0,,,4799.0,4745.0,4480.0,4372.0,2.1,1.1,2.5,2195.0,195.0,215.0,360.0,930.0,0.0,90.0,500.0,4480.0,,,,,,,,9245.0,460.0,90.0,55.0,160.0,25.0,0.0,10.0,0.0,0.0,65.0,0.0,45.0,8780.0,,,,,,,49.0,4.35,4.8,8.04,20.76,0.0,2.01,11.16,4.98,0.97,0.59,1.73,0.27,0.0,0.11,0.0,0.0,0.7,0.0,0.49,94.97,47.0,
1212009,Stellarton,12,Nova Scotia,9.38031718048314,Atlantic Maritime,100.0,51.843819387899735,9.109746516,3.0702895424571346,33.70334769601444,0.9361946297095056,0.114164187,12.194492860099649,1.7749470212597307,0.2939308840724878,16.55998069530417,4007.0,4208.0,445.6,8.99,-4.8,1885.0,,,2017.0,2018.0,1881.0,1880.0,2.1,0.0,0.1,1125.0,230.0,110.0,95.0,280.0,0.0,0.0,40.0,1880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.84,12.23,5.85,5.05,14.89,0.0,0.0,2.13,,,,,,,,,,,,,,47.04,
1212014,New Glasgow,12,Nova Scotia,10.25880614829795,Atlantic Maritime,100.0,85.08757902240575,9.965182672323929,3.869185821029688,38.827043600269256,1.5655344921667282,0.2290993793624411,14.633940070228888,2.948536722,0.5602214497734798,18.999982112443213,9471.0,9075.0,951.3,9.96,4.4,4385.0,,,4782.0,4640.0,4445.0,4208.0,2.1,3.1,5.6,2610.0,270.0,130.0,115.0,1250.0,5.0,0.0,60.0,4445.0,,,,,,,,9195.0,905.0,105.0,55.0,510.0,140.0,35.0,10.0,25.0,0.0,0.0,0.0,20.0,8290.0,,,,,,,58.72,6.07,2.92,2.59,28.12,0.11,0.0,1.35,9.84,1.14,0.6,5.55,1.52,0.38,0.11,0.27,0.0,0.0,0.0,0.22,90.16,46.3,
1214002,Antigonish,12,Nova Scotia,5.252123404958433,Atlantic Maritime,100.0,40.85257390017067,5.103541537715954,0.8481531664808724,16.618913752594946,0.7544643233167468,0.056610674,7.503426297,1.4228919066816827,0.1403297706291093,9.862293121,4656.0,4364.0,934.5,4.98,6.7,2130.0,,,2675.0,2596.0,2205.0,1997.0,2.0,3.0,10.4,965.0,65.0,20.0,315.0,660.0,20.0,5.0,155.0,2205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.76,2.95,0.91,14.29,29.93,0.91,0.23,7.03,,,,,,,,,,,,,,45.75,
1303012,Oromocto,13,New Brunswick,23.28853263563811,Atlantic Maritime,100.0,128.0209636223193,22.673714013589347,9.581168968124471,42.256724956405726,2.349883900689347,0.116063166,4.939102147770812,4.466941056265511,0.4086364088829376,9.148014351113224,9045.0,9223.0,404.5,22.36,-1.9,4750.0,,,3897.0,3900.0,3663.0,3459.0,2.5,-0.1,5.9,2220.0,360.0,470.0,40.0,525.0,40.0,0.0,5.0,3660.0,,,,,,,,8980.0,335.0,85.0,40.0,85.0,40.0,15.0,25.0,10.0,0.0,15.0,0.0,20.0,8645.0,,,,,,,60.66,9.84,12.84,1.09,14.34,1.09,0.0,0.14,3.73,0.95,0.45,0.95,0.45,0.17,0.28,0.11,0.0,0.17,0.0,0.22,96.27,52.52,
1305022,Sussex,13,New Brunswick,9.34281443122048,Atlantic Maritime,100.0,54.29565724056451,9.086448569341329,2.310269574276031,25.42544049686402,0.9781980260460916,0.111749199,11.423985319628375,1.830310146279712,0.2829121928638712,15.45706302502439,4440.0,4282.0,498.9,8.9,3.7,2050.0,,,2219.0,2147.0,2065.0,1988.0,2.1,3.4,3.9,1145.0,175.0,130.0,70.0,530.0,5.0,10.0,0.0,2065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.45,8.47,6.3,3.39,25.67,0.24,0.48,0.0,,,,,,,,,,,,,,46.17,
1306020,Riverview,13,New Brunswick,34.99223038916716,Atlantic Maritime,100.0,149.35627333194043,34.13452382639995,15.396405472784403,45.10508349577938,2.789957411837624,0.2937879508168041,10.530194818396843,5.343380083221782,0.7272764001955067,13.61079296004331,20584.0,19667.0,603.7,34.1,4.7,9870.0,,,8797.0,8537.0,8651.0,8224.0,2.4,3.0,5.2,5505.0,685.0,475.0,165.0,1360.0,70.0,5.0,390.0,8650.0,,,,,,,,20295.0,1310.0,375.0,35.0,315.0,175.0,35.0,65.0,85.0,30.0,130.0,0.0,20.0,18985.0,,,,,,,63.64,7.92,5.49,1.91,15.72,0.81,0.06,4.51,6.45,1.85,0.17,1.55,0.86,0.17,0.32,0.42,0.15,0.64,0.0,0.1,93.55,47.95,
1307022,Moncton,13,New Brunswick,146.12151434508286,Atlantic Maritime,100.0,696.5289667652706,142.6288987538292,62.51394751540806,43.82979049940238,12.616378309280366,0.84853884,6.725692737219484,23.56262903595737,2.4416598400080933,10.362425331579246,79470.0,71889.0,564.9,140.67,10.5,38720.0,,,37318.0,35380.0,35118.0,32135.0,2.2,5.5,9.3,14765.0,4380.0,805.0,2330.0,10595.0,1130.0,85.0,1030.0,35115.0,,,,,,,,77405.0,11545.0,2305.0,665.0,4080.0,980.0,1170.0,565.0,615.0,95.0,570.0,60.0,385.0,65860.0,,,,,,,42.05,12.47,2.29,6.64,30.17,3.22,0.24,2.93,14.92,2.98,0.86,5.27,1.27,1.51,0.73,0.79,0.12,0.74,0.08,0.5,85.08,48.72,
1310032,Fredericton,13,New Brunswick,144.40647807216405,Atlantic Maritime,100.0,551.8944908879309,140.74968076137168,75.03832243,53.31331625179667,9.931724320220916,1.2678234907746395,12.765391485880858,18.77102476923205,3.340335557667415,17.795168877208155,63116.0,58721.0,471.3,133.93,7.5,30205.0,,,29892.0,28632.0,28478.0,26147.0,2.2,4.4,8.9,12455.0,785.0,1245.0,2375.0,9930.0,415.0,170.0,1095.0,28480.0,,,,,,,,61835.0,8660.0,1770.0,1135.0,1775.0,605.0,1555.0,515.0,320.0,435.0,225.0,45.0,170.0,53180.0,,,,,,,43.73,2.76,4.37,8.34,34.87,1.46,0.6,3.84,14.01,2.86,1.84,2.87,0.98,2.51,0.83,0.52,0.7,0.36,0.07,0.27,86.0,47.86,
1314022,Saint-Quentin,13,New Brunswick,4.293428150584238,Atlantic Maritime,100.0,27.044063790168057,4.241977212440316,0.4953321292566723,11.676916316382536,0.5125714696597734,0.015017967,2.929926492487073,0.9825602486096412,0.046538612,4.736463992390318,2141.0,2194.0,504.7,4.24,-2.4,1065.0,,,1015.0,989.0,976.0,965.0,2.1,2.6,1.1,670.0,50.0,50.0,50.0,125.0,0.0,25.0,0.0,975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.72,5.13,5.13,5.13,12.82,0.0,2.56,0.0,,,,,,,,,,,,,,49.74,
2409065,Price,24,Quebec,2.6730630042477226,Atlantic Maritime,100.0,14.78232581859799,2.6648176053172,0.2082110011016957,7.813330288956564,0.2835235715455514,0.008354211,2.946566494801556,0.5447492360342172,0.02214864,4.06584136,1729.0,1759.0,688.8,2.51,-1.7,865.0,,,794.0,788.0,760.0,774.0,2.2,0.8,-1.8,615.0,25.0,0.0,15.0,85.0,0.0,10.0,10.0,760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.92,3.29,0.0,1.97,11.18,0.0,1.32,1.32,,,,,,,,,,,,,,50.03,
2411040,Trois-Pistoles,24,Quebec,7.688347621880233,Atlantic Maritime,100.0,33.55244718379485,7.634759347674198,2.162394510241691,28.323021221362115,0.6335007248624825,0.035879292,5.663654514007882,1.2111032061483669,0.097441067,8.045645184939843,3115.0,3246.0,408.1,7.63,-4.0,1475.0,,,1727.0,1770.0,1562.0,1562.0,1.9,-2.4,0.0,825.0,70.0,20.0,170.0,425.0,0.0,20.0,40.0,1565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.72,4.47,1.28,10.86,27.16,0.0,1.28,2.56,,,,,,,,,,,,,,47.35,
2421045,Boischatel,24,Quebec,21.18953947797441,Boreal Shield,88.16,67.44278954041702,20.830723816352887,13.929745378244284,66.87115388332747,1.2568526766134682,0.1643436247790725,13.075806563255195,2.3794564763479293,0.4527153941027558,19.026000206467263,8231.0,7587.0,404.3,20.36,8.5,4065.0,,,3128.0,2868.0,3050.0,2814.0,2.6,9.1,8.4,2370.0,60.0,5.0,120.0,490.0,5.0,0.0,0.0,3050.0,,,,,,,,8055.0,225.0,10.0,55.0,105.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,7830.0,,,,,,,77.7,1.97,0.16,3.93,16.07,0.16,0.0,0.0,2.79,0.12,0.68,1.3,0.0,0.31,0.31,0.0,0.0,0.0,0.0,0.0,97.21,49.39,
2423027,Québec,24,Quebec,469.3898346831816,MixedWood Plain,50.63,2933.879047340405,461.1748063392855,217.5261670731089,47.16783399,52.45333497623079,6.774469215820952,12.915230688174164,96.20578535025447,15.377160395662925,15.983612980944544,549459.0,531902.0,1214.8,452.3,3.3,267585.0,,,283219.0,266409.0,265711.0,252043.0,2.0,6.3,5.4,80880.0,14015.0,6940.0,17105.0,120780.0,23525.0,1075.0,1385.0,265710.0,,,,,,,,533540.0,50375.0,1610.0,2465.0,21950.0,520.0,9655.0,8590.0,2755.0,860.0,205.0,295.0,1020.0,483170.0,,,,,,,30.44,5.27,2.61,6.44,45.46,8.85,0.4,0.52,9.44,0.3,0.46,4.11,0.1,1.81,1.61,0.52,0.16,0.04,0.06,0.19,90.56,48.7,
2423057,L'Ancienne-Lorette,24,Quebec,7.865285258473006,MixedWood Plain,100.0,89.80427955406269,7.724234744526562,1.604101110350072,20.76712015370516,1.627210766352897,0.1694085843462141,10.41097980969689,3.056875618728384,0.3392317890754889,11.097336999815663,16970.0,16543.0,2197.0,7.72,2.6,8220.0,,,7516.0,7120.0,7314.0,6989.0,2.3,5.6,4.7,4345.0,555.0,65.0,470.0,1815.0,0.0,45.0,15.0,7315.0,,,,,,,,16445.0,805.0,20.0,90.0,255.0,0.0,165.0,200.0,45.0,0.0,0.0,0.0,10.0,15645.0,,,,,,,59.4,7.59,0.89,6.43,24.81,0.0,0.62,0.21,4.9,0.12,0.55,1.55,0.0,1.0,1.22,0.27,0.0,0.0,0.0,0.06,95.14,48.44,
2432040,Plessisville,24,Quebec,5.0567110934589055,MixedWood Plain,100.0,50.06439433220059,4.940020319659429,0.5913948042782631,11.971505500184552,0.911392668,0.052739306,5.7866721464018696,1.6945337630772446,0.1271883855583399,7.505804152722692,6414.0,6551.0,1304.2,4.92,-2.1,3185.0,,,3456.0,3203.0,3158.0,3059.0,2.0,7.9,3.2,1705.0,115.0,5.0,270.0,1005.0,0.0,20.0,35.0,3155.0,,,,,,,,6260.0,285.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,0.0,0.0,5970.0,,,,,,,54.04,3.65,0.16,8.56,31.85,0.0,0.63,1.11,4.55,0.0,0.0,0.0,0.0,0.0,4.07,0.0,0.0,0.0,0.0,0.0,95.37,49.66,
2437067,Trois-Rivières,24,Quebec,301.2045976342449,MixedWood Plain,100.0,1182.115024954591,294.66906671651464,137.56206679563647,46.68357908364287,21.50829827161609,1.5136379019956765,7.037460067183382,40.312732231477526,4.374344737,10.85102520827022,139163.0,134413.0,482.1,288.65,3.5,67435.0,,,70411.0,67771.0,66822.0,63157.0,2.0,3.9,5.8,27845.0,4765.0,1795.0,4910.0,25895.0,1115.0,305.0,190.0,66820.0,,,,,,,,133675.0,8020.0,205.0,440.0,3730.0,125.0,1340.0,1610.0,275.0,50.0,30.0,30.0,60.0,125650.0,,,,,,,41.67,7.13,2.69,7.35,38.75,1.67,0.46,0.28,6.0,0.15,0.33,2.79,0.09,1.0,1.2,0.21,0.04,0.02,0.02,0.04,94.0,48.46,
