CSDUID,CSDNAME,PRUID,province,csd_area_km2,ecozone,ecozone_coverage_pct,road_length_km,total_area_km2_csd,canopy_area_km2_csd,canopy_proportion_csd,total_area_km2_10m_buffer,canopy_area_km2_10m_buffer,canopy_proportion_10m_buffer,total_area_km2_20m_buffer,canopy_area_km2_20m_buffer,canopy_proportion_20m_buffer,"Population, 2021","Population, 2016",Population Density (sq km),Land Area (sq km),"Population Change (%), 2016 to 2021",Number of Men,Men in Workforce,People in Workforce,"Number of Private Dwellings, 2021","Number of Private Dwellings, 2016","Number of Occupied Private Dwellings, 2021","Number of Occupied Private Dwellings, 2016",Average Household Size,"Total Private Dwellings Change (%), 2016 to 2021","Occupied Dwellings Change (%), 2016 to 2021",Number of Single-detached Houses,Number of Semi-detached Houses,Number of Row Houses,Number of Apartments (duplex),Number of Apartments (<5 story buildings),Number of Apartments (5+ story buildings),Number of Other Single-attached Houses,Number of Movable Dwellings,Total Dwellings by Type,Indigenous identity: total count,Indigenous identity: Indigenous identity count,Single Indigenous responses,Single Indigenous responses: First Nations,Single Indigenous responses: Métis,Single Indigenous responses: Inuit,Multiple Indigenous responses,Visible minority: total counts,Visible minority: Total visible minority population,Visible minority: South Asian,Visible minority: Chinese,Visible minority: Black,Visible minority: Filipino,Visible minority: Arab,Visible minority: Latin American,Visible minority: Southeast Asian,Visible minority: West Asian,Visible minority: Korean,Visible minority: Japanese,Visible minority: Multiple visible minorities,Visible minority: Not a visible minority,Indigenous identity: Indigenous identity count (%),Single Indigenous responses (%),Single Indigenous responses: First Nations (%),Single Indigenous responses: Métis (%),Single Indigenous responses: Inuit (%),Multiple Indigenous responses (%),Number of Single-detached Houses (%),Number of Semi-detached Houses (%),Number of Row Houses (%),Number of Apartments (duplex) (%),Number of Apartments (<5 story buildings) (%),Number of Apartments (5+ story buildings) (%),Number of Other Single-attached Houses (%),Number of Movable Dwellings (%),Visible minority: Total visible minority population (%),Visible minority: South Asian (%),Visible minority: Chinese (%),Visible minority: Black (%),Visible minority: Filipino (%),Visible minority: Arab (%),Visible minority: Latin American (%),Visible minority: Southeast Asian (%),Visible minority: West Asian (%),Visible minority: Korean (%),Visible minority: Japanese (%),Visible minority: Multiple visible minorities (%),Visible minority: Not a visible minority (%),Number of Men (%),Men in Workforce (%)
2467050,Châteauguay,24,Quebec,38.45722400126715,MixedWood Plain,100.0,295.9922233280609,37.27571705549493,9.608409548038429,25.77659212761414,5.354747289200987,1.0198657381748706,19.04601063493046,10.097792113219688,1.975821202290401,19.56686352954051,50815.0,47906.0,1481.2,34.31,6.1,24865.0,,,20412.0,19366.0,19917.0,18798.0,2.5,5.4,6.0,12580.0,1085.0,265.0,705.0,5170.0,75.0,35.0,0.0,19915.0,,,,,,,,49995.0,11510.0,770.0,410.0,5760.0,310.0,1655.0,1555.0,235.0,205.0,35.0,15.0,370.0,38485.0,,,,,,,63.17,5.45,1.33,3.54,25.96,0.38,0.18,0.0,23.02,1.54,0.82,11.52,0.62,3.31,3.11,0.47,0.41,0.07,0.03,0.74,76.98,48.93,
2468030,Napierville,24,Quebec,4.650787346427688,MixedWood Plain,100.0,29.036250562970665,4.5007723695125375,0.4653069347052173,10.338379649171484,0.520406535,0.03074536,5.907950460659937,0.985594353,0.074027834,7.510983991408506,4020.0,3899.0,893.3,4.5,3.1,2025.0,,,1740.0,1628.0,1638.0,1607.0,2.4,6.9,1.9,1015.0,145.0,15.0,40.0,335.0,75.0,5.0,0.0,1640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.89,8.84,0.91,2.44,20.43,4.57,0.3,0.0,,,,,,,,,,,,,,50.37,
2469055,Huntingdon,24,Quebec,2.9675828374972397,MixedWood Plain,100.0,24.53615516263031,2.869351437993667,0.4667930413369526,16.268242194248177,0.4350540101885956,0.058717925,13.496697894203132,0.8276408831393751,0.123830133,14.961819197426356,2556.0,2444.0,924.2,2.77,4.6,1190.0,,,1273.0,1159.0,1202.0,1091.0,2.0,9.8,10.2,725.0,60.0,10.0,155.0,250.0,0.0,0.0,0.0,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.42,5.0,0.83,12.92,20.83,0.0,0.0,0.0,,,,,,,,,,,,,,46.56,
2471033,Les Coteaux,24,Quebec,12.13745670521356,MixedWood Plain,100.0,43.049013425329306,11.754997954089502,2.557625282,21.75776883990248,0.7764513428636417,0.08838447,11.383130525324743,1.4843549944012768,0.2002301765062853,13.489372640744165,5643.0,5368.0,485.0,11.64,5.1,2760.0,,,2453.0,2285.0,2411.0,2200.0,2.3,7.4,9.6,1160.0,140.0,295.0,105.0,700.0,0.0,5.0,10.0,2410.0,,,,,,,,5620.0,120.0,0.0,0.0,25.0,0.0,15.0,25.0,35.0,0.0,0.0,0.0,0.0,5495.0,,,,,,,48.13,5.81,12.24,4.36,29.05,0.0,0.21,0.41,2.14,0.0,0.0,0.44,0.0,0.27,0.44,0.62,0.0,0.0,0.0,0.0,97.78,48.91,
2471055,Pointe-des-Cascades,24,Quebec,2.975972106445857,MixedWood Plain,100.0,12.90565360803684,2.8840263551687166,1.0865261462406957,37.67393263565143,0.2428054937013269,0.031368866,12.919339666497292,0.4709115891338892,0.066100466,14.036704017903826,1775.0,1481.0,646.8,2.74,19.9,880.0,,,762.0,672.0,743.0,649.0,2.4,13.4,14.5,500.0,20.0,35.0,65.0,125.0,0.0,5.0,0.0,740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.57,2.7,4.73,8.78,16.89,0.0,0.68,0.0,,,,,,,,,,,,,,49.58,
2471060,L'Île-Perrot,24,Quebec,5.661457735650892,MixedWood Plain,100.0,62.261562569696565,5.489457792901144,2.354200013677457,42.88583868377421,1.1208376553373989,0.1927640597815762,17.198214109210106,2.0721105690138697,0.4455696118287345,21.50317741204244,11638.0,10756.0,2130.1,5.46,8.2,5635.0,,,5150.0,4831.0,4997.0,4688.0,2.2,6.6,6.6,2095.0,370.0,345.0,255.0,1755.0,155.0,30.0,0.0,4995.0,,,,,,,,11180.0,1830.0,170.0,155.0,660.0,205.0,110.0,280.0,50.0,70.0,0.0,35.0,75.0,9355.0,,,,,,,41.94,7.41,6.91,5.11,35.14,3.1,0.6,0.0,16.37,1.52,1.39,5.9,1.83,0.98,2.5,0.45,0.63,0.0,0.31,0.67,83.68,48.42,
2471065,Notre-Dame-de-l'Île-Perrot,24,Quebec,29.062089840352016,MixedWood Plain,100.0,95.39278120468968,28.172268449184934,10.720192795628106,38.05228825,1.766886106350271,0.4561350610458481,25.815759114663784,3.359363184462408,1.0179890259796545,30.303035726771565,11427.0,10654.0,407.3,28.06,7.3,5755.0,,,4156.0,3843.0,4070.0,3750.0,2.8,8.1,8.5,3860.0,5.0,85.0,45.0,55.0,0.0,10.0,15.0,4070.0,,,,,,,,11420.0,1400.0,115.0,165.0,340.0,120.0,210.0,170.0,35.0,130.0,35.0,0.0,65.0,10020.0,,,,,,,94.84,0.12,2.09,1.11,1.35,0.0,0.25,0.37,12.26,1.01,1.44,2.98,1.05,1.84,1.49,0.31,1.14,0.31,0.0,0.57,87.74,50.36,
2471070,Pincourt,24,Quebec,7.335561149893844,MixedWood Plain,100.0,81.44162153921981,7.111550278488228,2.3772912005259803,33.42859302727653,1.4614050094899995,0.1823180675931097,12.47553323063639,2.699385395144714,0.4572633168193025,16.939534371111485,14751.0,14558.0,2078.0,7.1,1.3,7250.0,,,5786.0,5556.0,5640.0,5471.0,2.6,4.1,3.1,3900.0,245.0,420.0,50.0,1010.0,0.0,0.0,20.0,5640.0,,,,,,,,14695.0,2545.0,310.0,395.0,620.0,225.0,360.0,225.0,65.0,190.0,25.0,45.0,60.0,12155.0,,,,,,,69.15,4.34,7.45,0.89,17.91,0.0,0.0,0.35,17.32,2.11,2.69,4.22,1.53,2.45,1.53,0.44,1.29,0.17,0.31,0.41,82.72,49.15,
2471075,Terrasse-Vaudreuil,24,Quebec,1.091897237470185,MixedWood Plain,100.0,12.609835310073484,1.0587147779616002,0.5314657382334792,50.19914232771347,0.2322321842208146,0.074591568,32.11939312766576,0.4392753226563653,0.1581367342670829,35.99945776849148,1887.0,1986.0,1782.4,1.06,-5.0,925.0,,,829.0,830.0,809.0,809.0,2.3,-0.1,0.0,555.0,75.0,0.0,60.0,120.0,0.0,0.0,0.0,810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.52,9.26,0.0,7.41,14.81,0.0,0.0,0.0,,,,,,,,,,,,,,49.02,
2471083,Vaudreuil-Dorion,24,Quebec,75.06909906331295,MixedWood Plain,100.0,357.87072618343205,72.79211392469196,24.517296780491357,33.68125399662942,6.381773048075084,0.8830881427072815,13.837661352962794,11.69109538195412,1.943585086761345,16.624490890403486,43268.0,38117.0,595.5,72.65,13.5,20905.0,,,17260.0,14853.0,16713.0,14453.0,2.5,16.2,15.6,8910.0,835.0,1045.0,415.0,5000.0,420.0,65.0,30.0,16715.0,,,,,,,,42170.0,12295.0,4110.0,450.0,2520.0,1185.0,1665.0,1125.0,340.0,215.0,25.0,70.0,460.0,29875.0,,,,,,,53.31,5.0,6.25,2.48,29.91,2.51,0.39,0.18,29.16,9.75,1.07,5.98,2.81,3.95,2.67,0.81,0.51,0.06,0.17,1.09,70.84,48.32,
2471090,Vaudreuil-sur-le-Lac,24,Quebec,1.4275772660163282,MixedWood Plain,100.0,11.596829646514504,1.384335575020255,0.6818399285863467,49.25394831208973,0.2154634635287233,0.059232674,27.490820657384862,0.407498796,0.119675614,29.36833560025305,1361.0,1341.0,983.0,1.38,1.5,695.0,,,494.0,504.0,484.0,479.0,2.8,-2.0,1.0,465.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.88,2.06,1.03,1.03,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,51.07,
2472005,Saint-Eustache,24,Quebec,72.73549223246378,MixedWood Plain,100.0,286.67047957646616,70.64613273159331,15.785711903285604,22.344764381173484,5.149723430856184,0.8923039606979273,17.327221018344556,9.488686819324846,1.6373430585322362,17.25573927888094,45276.0,44008.0,642.1,70.51,2.9,22085.0,,,19396.0,18742.0,18958.0,18347.0,2.3,3.5,3.3,10125.0,1405.0,210.0,675.0,6190.0,320.0,30.0,5.0,18955.0,,,,,,,,44275.0,4920.0,265.0,145.0,1710.0,45.0,1255.0,670.0,460.0,165.0,0.0,0.0,165.0,39350.0,,,,,,,53.42,7.41,1.11,3.56,32.66,1.69,0.16,0.03,11.11,0.6,0.33,3.86,0.1,2.83,1.51,1.04,0.37,0.0,0.0,0.37,88.88,48.78,
2472010,Deux-Montagnes,24,Quebec,6.2591262441903215,MixedWood Plain,100.0,84.1925533670987,6.077671776,1.5144965559140104,24.91902510889297,1.5103149914005425,0.2191091944289578,14.50751635761583,2.8177207448440407,0.4900193041057524,17.390626981130264,17915.0,17496.0,2947.8,6.08,2.4,8765.0,,,7463.0,7240.0,7266.0,7093.0,2.4,3.1,2.4,4260.0,520.0,290.0,215.0,1815.0,130.0,30.0,0.0,7265.0,,,,,,,,17600.0,1950.0,90.0,45.0,620.0,50.0,495.0,425.0,125.0,25.0,0.0,0.0,40.0,15650.0,,,,,,,58.64,7.16,3.99,2.96,24.98,1.79,0.41,0.0,11.08,0.51,0.26,3.52,0.28,2.81,2.41,0.71,0.14,0.0,0.0,0.23,88.92,48.93,
2472015,Sainte-Marthe-sur-le-Lac,24,Quebec,9.200356440470458,MixedWood Plain,100.0,107.28479746469245,8.931891236211712,1.9852726800862572,22.22678968634948,1.975368165277963,0.2047399368757137,10.364646979460854,3.748445858917071,0.4690524494034819,12.513251279531396,19797.0,18074.0,2267.4,8.73,9.5,9775.0,,,7642.0,6941.0,7503.0,6870.0,2.6,10.1,9.2,5405.0,305.0,170.0,165.0,1260.0,0.0,20.0,180.0,7505.0,,,,,,,,19755.0,2475.0,165.0,60.0,970.0,10.0,655.0,355.0,110.0,55.0,0.0,0.0,75.0,17275.0,,,,,,,72.02,4.06,2.27,2.2,16.79,0.0,0.27,2.4,12.53,0.84,0.3,4.91,0.05,3.32,1.8,0.56,0.28,0.0,0.0,0.38,87.45,49.38,
2472020,Pointe-Calumet,24,Quebec,5.192418269625964,MixedWood Plain,100.0,49.567183314018514,5.040061151534509,2.169909807,43.05324363574268,0.926923072,0.222907671,24.048130637283585,1.7678419895984032,0.4674453696651987,26.441580888764115,6281.0,6428.0,1367.7,4.59,-2.3,3215.0,,,2673.0,2696.0,2590.0,2618.0,2.4,-0.9,-1.1,2305.0,35.0,0.0,105.0,125.0,0.0,15.0,0.0,2590.0,,,,,,,,6280.0,200.0,0.0,15.0,45.0,0.0,55.0,60.0,0.0,0.0,0.0,0.0,0.0,6080.0,,,,,,,89.0,1.35,0.0,4.05,4.83,0.0,0.58,0.0,3.18,0.0,0.24,0.72,0.0,0.88,0.96,0.0,0.0,0.0,0.0,0.0,96.82,51.19,
2473005,Boisbriand,24,Quebec,28.53134689230577,MixedWood Plain,100.0,191.45796276334147,27.722494952044645,7.838388713730159,28.27447070434779,3.313313500673656,0.3946095055788817,11.90981491786547,6.0375795567881365,0.7919662739973269,13.11728096579544,28308.0,26884.0,1022.9,27.67,5.3,13975.0,,,11769.0,10537.0,11425.0,10288.0,2.5,11.7,11.1,5355.0,630.0,765.0,150.0,4445.0,75.0,10.0,0.0,11425.0,,,,,,,,28265.0,3160.0,180.0,105.0,775.0,65.0,885.0,530.0,315.0,195.0,0.0,0.0,85.0,25100.0,,,,,,,46.87,5.51,6.7,1.31,38.91,0.66,0.09,0.0,11.18,0.64,0.37,2.74,0.23,3.13,1.88,1.11,0.69,0.0,0.0,0.3,88.8,49.37,
2473010,Sainte-Thérèse,24,Quebec,9.761291729659671,MixedWood Plain,100.0,138.46490942204343,9.48672748439038,2.163040237445253,22.800699619593328,2.308531806311941,0.3533000496980125,15.30410145236148,4.114532218,0.755156922,18.353408902664697,26533.0,25989.0,2798.9,9.48,2.1,12605.0,,,13202.0,12566.0,12686.0,12170.0,2.0,5.1,4.2,3600.0,400.0,220.0,915.0,6700.0,835.0,25.0,0.0,12685.0,,,,,,,,24850.0,1835.0,40.0,70.0,620.0,20.0,500.0,380.0,90.0,65.0,0.0,0.0,25.0,23020.0,,,,,,,28.38,3.15,1.73,7.21,52.82,6.58,0.2,0.0,7.38,0.16,0.28,2.49,0.08,2.01,1.53,0.36,0.26,0.0,0.0,0.1,92.64,47.51,
2473015,Blainville,24,Quebec,57.04309592706044,MixedWood Plain,100.0,320.7046786378897,55.45929817030251,22.77933198042032,41.073963666958655,5.8278263767025695,0.8589536428588326,14.738833783597295,11.040204260535091,1.9018542289296927,17.226621754890566,59819.0,56863.0,1088.2,54.97,5.2,29425.0,,,22859.0,21006.0,22424.0,20600.0,2.6,8.8,8.9,14400.0,1200.0,285.0,1470.0,4685.0,280.0,15.0,85.0,22425.0,,,,,,,,59010.0,7235.0,330.0,530.0,1965.0,90.0,2145.0,1020.0,555.0,280.0,70.0,45.0,130.0,51770.0,,,,,,,64.21,5.35,1.27,6.56,20.89,1.25,0.07,0.38,12.26,0.56,0.9,3.33,0.15,3.63,1.73,0.94,0.47,0.12,0.08,0.22,87.73,49.19,
2473020,Rosemère,24,Quebec,11.005577795645316,MixedWood Plain,100.0,119.36510481660947,10.695263975049686,4.316823581488497,40.36201062039184,2.154881753662618,0.6106406362221951,28.33754730088085,4.012325205674293,1.2584082748815806,31.363566270797783,14090.0,13958.0,1318.7,10.68,0.9,6925.0,,,5340.0,5181.0,5249.0,5096.0,2.7,3.1,3.0,4230.0,50.0,215.0,75.0,675.0,0.0,5.0,0.0,5250.0,,,,,,,,14070.0,1450.0,60.0,175.0,395.0,10.0,270.0,265.0,115.0,70.0,35.0,0.0,30.0,12620.0,,,,,,,80.57,0.95,4.1,1.43,12.86,0.0,0.1,0.0,10.31,0.43,1.24,2.81,0.07,1.92,1.88,0.82,0.5,0.25,0.0,0.21,89.69,49.15,
2473025,Lorraine,24,Quebec,6.074871365225774,MixedWood Plain,100.0,75.63985695719728,5.905550129218796,2.827406557222146,47.87710705,1.2014329131933186,0.3076064654759795,25.603299368450344,2.1474955697893616,0.6596606903280421,30.717674094794305,9502.0,9352.0,1609.9,5.9,1.6,4725.0,,,3437.0,3381.0,3393.0,3326.0,2.8,1.7,2.0,2985.0,85.0,160.0,5.0,160.0,0.0,0.0,0.0,3395.0,,,,,,,,9500.0,950.0,65.0,130.0,265.0,0.0,160.0,160.0,60.0,30.0,25.0,0.0,45.0,8545.0,,,,,,,87.92,2.5,4.71,0.15,4.71,0.0,0.0,0.0,10.0,0.68,1.37,2.79,0.0,1.68,1.68,0.63,0.32,0.26,0.0,0.47,89.95,49.73,
2473030,Bois-des-Filion,24,Quebec,4.489408309108106,MixedWood Plain,100.0,63.37616057669578,4.364351497074335,1.1442778090481045,26.21873627307922,1.1020335672444057,0.1628307232388109,14.775477633223389,1.985462762050237,0.3322544068045031,16.734355997762915,10159.0,9636.0,2327.8,4.36,5.4,4815.0,,,4370.0,4107.0,4258.0,4019.0,2.4,6.4,5.9,2155.0,330.0,220.0,215.0,1335.0,0.0,5.0,0.0,4260.0,,,,,,,,10045.0,1575.0,0.0,15.0,900.0,25.0,310.0,230.0,15.0,15.0,0.0,0.0,35.0,8470.0,,,,,,,50.59,7.75,5.16,5.05,31.34,0.0,0.12,0.0,15.68,0.0,0.15,8.96,0.25,3.09,2.29,0.15,0.15,0.0,0.0,0.35,84.32,47.4,
2475017,Saint-Jérôme,24,Quebec,94.16139179715309,Boreal Shield,84.12,527.7805612493817,91.64086723,46.64235841841042,50.89689767277843,9.534719397,0.986496138,10.346357312270367,17.85410983209868,2.688032401932302,15.05553862506028,80213.0,74346.0,889.5,90.18,7.9,38830.0,,,38776.0,35316.0,37371.0,33642.0,2.1,9.8,11.1,13900.0,1560.0,650.0,4155.0,15525.0,1340.0,225.0,15.0,37370.0,,,,,,,,77880.0,4960.0,90.0,135.0,2470.0,50.0,740.0,1005.0,205.0,45.0,20.0,0.0,95.0,72920.0,,,,,,,37.2,4.17,1.74,11.12,41.54,3.59,0.6,0.04,6.37,0.12,0.17,3.17,0.06,0.95,1.29,0.26,0.06,0.03,0.0,0.12,93.63,48.41,
2476055,Grenville,24,Quebec,4.430479495046951,MixedWood Plain,100.0,16.252744522914867,4.304544239824173,0.9149070245932044,21.254445851172747,0.3016304293253629,0.032043286,10.623359943075624,0.5850328175182626,0.077636695,13.270485394550771,1816.0,1711.0,644.6,2.82,6.1,895.0,,,951.0,862.0,903.0,792.0,2.0,10.3,14.0,425.0,55.0,50.0,110.0,250.0,0.0,5.0,5.0,905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.96,6.08,5.52,12.15,27.62,0.0,0.55,0.55,,,,,,,,,,,,,,49.28,
2480050,Thurso,24,Quebec,7.594039925787182,Boreal Shield,50.46,26.834104239678343,7.377898405275687,1.0780122235855414,14.611372566674152,0.4867438557346129,0.025240925,5.185668929542089,0.9219161202087636,0.061325138,6.651921646468368,3084.0,2818.0,463.8,6.65,9.4,1510.0,,,1510.0,1308.0,1421.0,1228.0,2.2,15.4,15.7,740.0,180.0,10.0,145.0,340.0,0.0,10.0,0.0,1420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.11,12.68,0.7,10.21,23.94,0.0,0.7,0.0,,,,,,,,,,,,,,48.96,
2481017,Gatineau,24,Quebec,392.8951018568891,Boreal Shield,81.95,1728.5653002154747,381.3023103364024,128.08245617007563,33.590789433474825,30.988433201228204,3.093881413859414,9.983987876278915,58.02932843525876,7.485289549337878,12.899149018567304,291041.0,276245.0,851.4,341.84,5.4,141590.0,,,133225.0,125608.0,126476.0,118385.0,2.3,6.1,6.8,46215.0,18050.0,8230.0,7215.0,39380.0,6980.0,205.0,200.0,126475.0,,,,,,,,285715.0,54665.0,1840.0,3230.0,27145.0,1375.0,10240.0,5595.0,1595.0,1130.0,390.0,245.0,1405.0,231050.0,,,,,,,36.54,14.27,6.51,5.7,31.14,5.52,0.16,0.16,19.13,0.64,1.13,9.5,0.48,3.58,1.96,0.56,0.4,0.14,0.09,0.49,80.87,48.65,
2483065,Maniwaki,24,Quebec,6.4165375395937225,Boreal Shield,100.0,40.44648425311616,6.277801631392052,1.7472438237294157,27.832096748523394,0.7512716539006414,0.071609305,9.531745866131294,1.4336251683988894,0.1947532030252264,13.58466685142895,3757.0,3843.0,662.8,5.67,-2.2,1775.0,,,2110.0,2057.0,1881.0,1912.0,1.9,2.6,-1.6,1045.0,95.0,50.0,135.0,515.0,5.0,40.0,5.0,1885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.44,5.04,2.65,7.16,27.32,0.27,2.12,0.27,,,,,,,,,,,,,,47.25,
2484060,Fort-Coulonge,24,Quebec,3.2109631856194576,Boreal Shield,100.0,19.99626839841914,3.1261845077231407,1.5278408738456453,48.87238325412855,0.3673731891570103,0.060708643,16.525060704584092,0.6989169862486297,0.1585951490240702,22.69155738728208,1312.0,1433.0,443.9,2.96,-8.4,630.0,,,605.0,644.0,574.0,608.0,2.3,-6.1,-5.6,400.0,45.0,20.0,40.0,60.0,0.0,0.0,0.0,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.18,7.89,3.51,7.02,10.53,0.0,0.0,0.0,,,,,,,,,,,,,,48.02,
2485025,Ville-Marie,24,Quebec,12.744596871233092,Boreal Shield,100.0,29.877516842272552,12.573211885875542,1.4375688022688635,11.43358447560878,0.550770082,0.072018815,13.076021641526289,1.0588737881115453,0.161597879,15.26129754419398,2464.0,2584.0,422.4,5.83,-4.6,1130.0,,,1264.0,1350.0,1185.0,1248.0,1.9,-6.4,-5.0,690.0,65.0,70.0,190.0,170.0,0.0,0.0,0.0,1185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.23,5.49,5.91,16.03,14.35,0.0,0.0,0.0,,,,,,,,,,,,,,45.86,
2489804,Lac Simon,24,Quebec,3.164103490187684,Boreal Shield,100.0,9.927416881764724,3.140725313386455,2.120492687089642,67.51601861046684,0.1902215276895926,0.038175282,20.06885483404685,0.3663909453701073,0.084102897,22.954414602275573,1285.0,1380.0,409.2,3.14,-6.9,635.0,,,343.0,322.0,342.0,312.0,3.7,6.5,9.6,310.0,10.0,15.0,5.0,0.0,0.0,0.0,0.0,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.86,2.9,4.35,1.45,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,49.42,
3501012,Cornwall,35,Ontario,64.2045821980018,MixedWood Plain,100.0,313.60859500035434,62.04679193018646,18.43290524846929,29.70807140070923,5.678593553792478,0.5092999393198564,8.968769018,10.705744071131898,1.2282048425826526,11.472391217482157,47845.0,46589.0,777.9,61.5,2.7,23075.0,,,22214.0,21659.0,21386.0,20931.0,2.2,2.6,2.2,10485.0,2190.0,1180.0,1775.0,4445.0,1145.0,115.0,50.0,21385.0,,,,,,,,46340.0,4595.0,2355.0,165.0,770.0,300.0,235.0,235.0,165.0,155.0,45.0,35.0,85.0,41745.0,,,,,,,49.03,10.24,5.52,8.3,20.79,5.35,0.54,0.23,9.92,5.08,0.36,1.66,0.65,0.51,0.51,0.36,0.33,0.1,0.08,0.18,90.08,48.23,
3502008,Hawkesbury,35,Ontario,13.941132501001617,MixedWood Plain,100.0,64.90123920381895,13.544983051003518,2.038647963136846,15.050945102406809,1.1922221134994098,0.082271921,6.900720950779557,2.273019974480864,0.194245175,8.545687124919164,10194.0,10263.0,1009.7,10.1,-0.7,4820.0,,,5308.0,5231.0,5080.0,4956.0,1.9,1.5,2.5,1815.0,685.0,265.0,810.0,1470.0,0.0,30.0,0.0,5080.0,,,,,,,,9830.0,505.0,170.0,10.0,160.0,30.0,70.0,25.0,0.0,0.0,0.0,0.0,0.0,9325.0,,,,,,,35.73,13.48,5.22,15.94,28.94,0.0,0.59,0.0,5.14,1.73,0.1,1.63,0.31,0.71,0.25,0.0,0.0,0.0,0.0,0.0,94.86,47.28,
3502044,Casselman,35,Ontario,5.562383924760357,MixedWood Plain,100.0,37.38942875513808,5.389472912615029,0.5894546168013202,10.937147776020838,0.6503880252109874,0.016625594,2.5562576409182256,1.227292990037202,0.055511708,4.523101515512592,3960.0,3548.0,772.2,5.13,11.6,1960.0,,,1630.0,1480.0,1578.0,1435.0,2.4,10.1,10.0,1050.0,95.0,75.0,160.0,190.0,5.0,0.0,0.0,1575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.67,6.03,4.76,10.16,12.06,0.32,0.0,0.0,,,,,,,,,,,,,,49.49,
3507008,Prescott,35,Ontario,5.125679629745961,MixedWood Plain,100.0,38.95982889759755,4.938151776499367,1.1909027593581412,24.11636606686817,0.7100195541195673,0.061435646,8.652669559575282,1.3100732647651128,0.1437990906935169,10.976415942607538,4078.0,4222.0,826.0,4.94,-3.4,1975.0,,,1993.0,2103.0,1889.0,2016.0,2.1,-5.2,-6.3,1090.0,225.0,70.0,120.0,345.0,5.0,40.0,0.0,1890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.67,11.9,3.7,6.35,18.25,0.26,2.12,0.0,,,,,,,,,,,,,,48.43,
3507015,Brockville,35,Ontario,21.800425326628428,MixedWood Plain,100.0,151.9084141458793,20.97949553,6.074338549561785,28.95369214698833,2.7351153399710126,0.3142028387096426,11.487736334840369,5.1363018324564695,0.796121532,15.499897745965733,22116.0,21569.0,1057.8,20.91,2.5,10375.0,,,11088.0,10826.0,10647.0,10266.0,2.0,2.4,3.7,5055.0,960.0,825.0,90.0,2950.0,685.0,85.0,0.0,10645.0,,,,,,,,21520.0,1400.0,440.0,165.0,165.0,145.0,175.0,95.0,35.0,40.0,20.0,35.0,60.0,20120.0,,,,,,,47.49,9.02,7.75,0.85,27.71,6.43,0.8,0.0,6.51,2.04,0.77,0.77,0.67,0.81,0.44,0.16,0.19,0.09,0.16,0.28,93.49,46.91,
3507024,Gananoque,35,Ontario,7.53408800731101,MixedWood Plain,100.0,52.58032399397529,7.231585018,2.658940459990106,36.76843255510009,0.9386439339879908,0.1154111234927548,12.295516895571977,1.7409091836282726,0.2869450106966504,16.482480154342174,5383.0,5159.0,768.4,7.01,4.3,2600.0,,,2767.0,2516.0,2562.0,2404.0,2.0,10.0,6.6,1355.0,225.0,145.0,65.0,655.0,115.0,5.0,0.0,2560.0,,,,,,,,5230.0,145.0,30.0,15.0,25.0,40.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5085.0,,,,,,,52.93,8.79,5.66,2.54,25.59,4.49,0.2,0.0,2.77,0.57,0.29,0.48,0.76,0.0,0.0,0.19,0.0,0.0,0.0,0.0,97.23,48.3,
3509004,Smiths Falls,35,Ontario,10.40098834757364,MixedWood Plain,100.0,76.22961754304893,10.03702516548654,2.741799760090659,27.31685648770366,1.3591613793699866,0.1376932030725689,10.130747177086064,2.5451080115637748,0.3341653225269222,13.129710841686562,9254.0,8780.0,958.1,9.66,5.4,4400.0,,,4523.0,4387.0,4311.0,4066.0,2.1,3.1,6.0,2280.0,585.0,150.0,110.0,1110.0,50.0,25.0,0.0,4310.0,,,,,,,,9085.0,375.0,100.0,80.0,45.0,70.0,10.0,20.0,0.0,0.0,0.0,0.0,25.0,8710.0,,,,,,,52.9,13.57,3.48,2.55,25.75,1.16,0.58,0.0,4.13,1.1,0.88,0.5,0.77,0.11,0.22,0.0,0.0,0.0,0.0,0.28,95.87,47.55,
