CSDUID,CSDNAME,csd_area_km2,ecozone,ecozone_coverage_pct,road_length_km,total_area_km2,canopy_area_csd_km2,canopy_proportion_csd
1001485,Conception Bay South,61.90603882450637,Boreal Shield,100.0,248.29965609606987,61.154177299176496,16.98972420419653,27.78178851312143
1001517,Paradise,32.522274401259295,Boreal Shield,100.0,163.82101289060313,32.13946838672867,7.365019664268008,22.915810478399948
1001542,Mount Pearl,15.895362887579134,Boreal Shield,100.0,134.09738828917656,15.706473741266809,2.078602166629267,13.234047316222211
1005017,Massey Drive,2.7163330494414604,Boreal Shield,100.0,8.803405136796965,2.715009679977667,1.2909993546772818,47.55045126350714
1102075,Charlottetown,45.58302942050059,Atlantic Maritime,100.0,307.1146849734802,44.55491924537618,7.884802040600167,17.696815916501603
1102080,Stratford,23.24077765410004,Atlantic Maritime,100.0,118.90835000620598,22.704421343255465,5.385906237459002,23.721838826158542
1103014,Kensington,3.2564522143183248,Atlantic Maritime,100.0,16.488055067320065,3.187740124073772,0.4876696851406245,15.29828863581913
1103025,Summerside,28.89017691750979,Atlantic Maritime,100.0,141.18544861940543,28.27329008697129,5.0907123531728695,18.005376585156384
1202006,Yarmouth,11.14263560622456,Atlantic Maritime,100.0,73.64220282947419,10.642109773415068,2.130604943662385,20.02051274630549
1203006,Digby,3.290172658037343,Atlantic Maritime,100.0,26.717731569028945,3.166830017349106,1.170950213792822,36.97546781412039
1206004,Bridgewater,14.674786454428158,Atlantic Maritime,100.0,75.75981544013929,14.090866338607894,7.542199489624486,53.5254490986082
1206006,Lunenburg,4.219143032966643,Atlantic Maritime,100.0,34.971767303582794,4.051062175323135,1.2395161005586572,30.59731119677981
1207024,Wolfville,6.704514373049958,Atlantic Maritime,100.0,36.092091476686974,6.481916421639232,1.7633536336558655,27.204201951279185
1211011,Amherst,12.41481254062636,Atlantic Maritime,100.0,84.74745383276256,12.085380090938587,2.716282360375319,22.47577105507787
1212009,Stellarton,9.38031718048314,Atlantic Maritime,100.0,51.843819387899735,9.109754050676852,3.070440353903036,33.704975313520166
1212014,New Glasgow,10.25880614829795,Atlantic Maritime,100.0,85.08757902240575,9.965185164129554,3.8700021582725217,38.835225783891005
1214002,Antigonish,5.252123404958433,Atlantic Maritime,100.0,40.85257390017067,5.103536379546348,0.8479480144177093,16.614910747301913
1303012,Oromocto,23.28853263563811,Atlantic Maritime,100.0,128.0209636223193,22.67377067464443,9.581902572534617,42.25985483415797
1305022,Sussex,9.34281443122048,Atlantic Maritime,100.0,54.29565724056451,9.08646263199289,2.310192600909386,25.4245540258465
1306020,Riverview,34.99223038916716,Atlantic Maritime,100.0,149.35627333194043,34.135623136783266,15.3963835952387,45.1035668326445
1307022,Moncton,146.12151434508286,Atlantic Maritime,100.0,696.5289667652706,142.62853554610035,62.515706094233,43.831135091495554
1310032,Fredericton,144.40647807216405,Atlantic Maritime,100.0,551.8944908879309,140.74936299696537,75.03623763233774,53.31195540398686
1314022,Saint-Quentin,4.293428150584238,Atlantic Maritime,100.0,27.044063790168057,4.2419873675421575,0.4953282292602817,11.676796424485325
2409065,Price,2.6730630042477226,Atlantic Maritime,100.0,14.78232581859799,2.6647850836320357,0.2081583135508364,7.8114484664977875
2411040,Trois-Pistoles,7.688347621880233,Atlantic Maritime,100.0,33.55244718379485,7.634760522714797,2.1624798536747094,28.324134689502568
2421045,Boischatel,21.18953947797441,Boreal Shield,88.16,67.44278954041702,20.830210699362432,13.929553967994094,66.87188223410743
2423027,Québec,469.3898346831816,MixedWood Plain,50.63,2933.879047340405,461.1745875657221,217.51884638198885,47.166268967712845
2423057,L'Ancienne-Lorette,7.865285258473006,MixedWood Plain,100.0,89.80427955406269,7.724257858099387,1.604042492352521,20.7662991295737
2432040,Plessisville,5.0567110934589055,MixedWood Plain,100.0,50.06439433220059,4.939967622166798,0.5911754321412154,11.967192446534913
2437067,Trois-Rivières,301.2045976342449,MixedWood Plain,100.0,1182.115024954591,294.6685288352682,137.56277387137234,46.68390425510135
2439062,Victoriaville,88.30798226833426,MixedWood Plain,100.0,404.70396400622224,86.15424176771796,19.290914907982792,22.39113769928285
2441060,East Angus,8.622241668376322,Atlantic Maritime,100.0,42.17078437180289,8.367303011773744,3.29815145561676,39.41713896312691
2442098,Richmond,7.684612041153515,Atlantic Maritime,100.0,37.66194837893622,7.469057817031666,2.70499857064524,36.21606147534488
2443027,Sherbrooke,377.35817947588936,Atlantic Maritime,100.0,1415.4068981610412,365.9201262722521,176.8203211387427,48.32210869078701
2446035,Bedford,4.534628830523025,MixedWood Plain,100.0,25.7587586775296,4.385430831565089,1.5255822659840306,34.78751175376708
2447017,Granby,160.1769882263951,MixedWood Plain,100.0,593.2244335732183,155.3179782178455,61.21268819420667,39.4112058993912
2447025,Waterloo,13.961234726380235,MixedWood Plain,80.02,50.71780994603088,13.52987403401438,5.888108659489533,43.51931617904725
2449075,Notre-Dame-du-Bon-Conseil,4.541145946230405,MixedWood Plain,100.0,16.415530966812224,4.427874639180788,1.291317804295776,29.16337768168356
2452035,Berthierville,7.021977330018292,MixedWood Plain,100.0,37.043594610368906,6.851921531480474,1.3884789947637584,20.264081956930323
2452080,Saint-Gabriel,13.140487097397326,Boreal Shield,100.0,31.14673073539517,12.84906959234464,1.224028229827136,9.526201263291474
2453050,Saint-Joseph-de-Sorel,1.4429729777753182,MixedWood Plain,100.0,9.871745462070386,1.4075809219603823,0.1140358223243536,8.101546457842886
