CSDUID,total_area_km2,canopy_area_km2,canopy_proportion
1307022,142.6288987538292,62.51394751540806,43.82979049940238
1310032,140.74968076137168,75.0383224277043,53.31331625179667
1102075,44.554966009605515,7.8848565075347175,17.696919588794742
1103025,28.273341444560483,5.090626599813494,18.005040577872276
1102080,22.704423113817082,5.385418027565302,23.719686690863035
1103014,3.1877427740064896,0.48772622032127766,15.300049436180913
1202006,10.642094538156776,2.130722308613797,20.021644244694343
1203006,3.1668539328089884,1.1706337572189902,36.96519580808838
1206004,14.090894635663837,7.542856018797542,53.53000085393222
1206006,4.051051213755591,1.2395884633919663,30.599180261727334
1207024,6.481903201884447,1.7634561781775207,27.205839446427415
1211011,12.085376176240059,2.7163738618277713,22.47653546083392
1212009,9.10974651583412,3.0702895424571346,33.70334769601444
1212014,9.965182672323927,3.869185821029688,38.827043600269256
1214002,5.103541537715954,0.8481531664808724,16.618913752594946
1303012,22.673714013589347,9.581168968124473,42.256724956405726
1305022,9.086448569341327,2.310269574276031,25.42544049686402
1306020,34.13452382639995,15.396405472784403,45.10508349577938
1314022,4.241977212440316,0.49533212925667236,11.676916316382535
2411040,7.634759347674198,2.162394510241691,28.323021221362115
2441060,8.367282455613358,3.2981274500486375,39.41694890240048
2442098,7.469146130296852,2.705129491891911,36.217386093427514
2443027,365.9205236536072,176.8234676036892,48.32291609067447
2409065,2.6648176053171997,0.20821100110169577,7.813330288956564
4613047,25.66859485186122,2.814389046145076,10.964328442548174
4714051,15.169413531320945,1.093704282694925,7.209931224016712
4715066,71.06362646536321,20.720501600142995,29.157675495553658
4717052,12.585925187682813,0.7571651915203773,6.015967680003178
4819012,135.78596663592052,10.406146120746788,7.663638871201267
5955014,26.936021343717062,1.7926079881101595,6.655058537545646
5955034,33.06357877831437,3.9130276712697567,11.834858221204476
4612056,5.5001518364903905,0.667990350517728,12.144943819295872
4618074,2.2480951195730317,0.3128573862803974,13.916554666949176
4620048,6.979919497337202,1.0200449456258218,14.61399298394434
4714044,6.5627409809708634,0.596029508006168,9.082020907642068
4714076,8.925917587282282,2.073455327411108,23.22960420747536
4715068,2.4435075245630395,0.1738610771165703,7.115225771513065
4808024,1.6107570928508013,0.13727151395554726,8.522173490019966
4809015,13.792494121013451,2.155230786884496,15.626113507642614
4812009,16.808011755012178,0.5161740629762059,3.0710001307696726
4812018,10.230818821289143,0.5622225317372479,5.495381567771763
4813019,8.393791318061632,0.5002033807752413,5.959206773450649
4817029,14.371081693793744,3.9208691008907204,27.28304789043107
4819009,5.3837811552622705,0.40444013876686286,7.51219500019147
1001542,15.706477934744285,2.078826938359068,13.2354748594559
4622026,20.11224911110333,5.4773698228550565,27.233999502478195
2489804,3.140725313386455,2.120492687089642,67.51601861046684
1001485,61.15399197322788,16.98980659804746,27.782007437037453
1001517,32.1394007287698,7.364679309181318,22.914799723035205
1005017,2.715033542300753,1.2910637195812777,47.5524040298675
3548021,3.8774514351996108,1.6737997429731344,43.16752307400512
3549032,14.008032562537954,7.270665910559442,51.90354804002651
3554052,3.0146853325891225,0.7435373058817377,24.663844609054454
4601060,2.2602774654952196,0.3107935914235826,13.750240674787628
2452080,12.849060211208426,1.2238572583004368,9.52487760336626
2483065,6.277801631392052,1.7472438237294157,27.832096748523394
2485025,12.573211885875542,1.4375688022688637,11.433584475608779
2484060,3.1261845077231407,1.5278408738456453,48.87238325412855
3520005,635.3289467876552,151.38050960442416,23.827107259921494
3525005,1128.4405118185884,295.5122097151017,26.18766400355973
3501012,62.04679193018646,18.432905248469286,29.70807140070923
3507015,20.979495529359,6.074338549561785,28.953692146988335
3515014,67.56608935946244,14.378724591558468,21.280977969675508
3518001,233.47587987146275,59.647645857417515,25.54766937392239
3518013,146.90235172809747,33.64788742275107,22.904934486705947
3519028,275.05110153540784,44.955071381431175,16.34426153194083
3519036,213.068934838283,33.421889427626105,15.685951334479123
3521005,294.1389854521045,42.75482704981571,14.535586632319298
3521010,268.28200078237995,31.48926143952539,11.73737386320906
3523008,88.28328386628051,24.108722301944255,27.30836603049436
3524002,186.64631050011295,55.3892842881703,29.676067070255208
3526032,84.55584529462755,17.74235744158756,20.98300523135432
3526043,214.08811651208177,64.02609062816035,29.90641968889811
3526053,100.30036533788143,20.526468926855035,20.464999162971743
3529006,100.79394803489333,17.724734465852748,17.585117768892943
3530010,115.74922935603416,27.08649526017214,23.40101563601476
3530013,138.4630029434635,26.897500274521235,19.42576695776552
3530016,65.13629529635948,14.46119943968786,22.201446020059585
3531011,30.24977086144446,2.3725351047890464,7.843150666020467
3532042,58.81745427360631,10.567382240062523,17.966405330814396
3534021,36.08849408905819,7.552959587290904,20.928996285220215
3537039,146.38833231100048,24.47975918517567,16.722479721381536
3538030,165.56872413786178,24.94514445195245,15.066338514018945
3539036,425.1715659472236,76.90518426156072,18.088035612218466
3542059,24.589295769713168,6.730028205788633,27.369747669138466
3543042,106.78205190156218,26.433205549223512,24.75435251383927
3543052,79.74454495935943,9.699848540911647,12.163651502250122
3547064,15.737843407695193,3.576260493965332,22.723955254356387
2457025,3.3740295042560056,0.3942746488550382,11.685572054355173
2468030,4.5007723695125375,0.4653069347052173,10.338379649171483
2471033,11.754997954089502,2.55762528198606,21.757768839902482
2471075,1.0587147779616002,0.5314657382334792,50.19914232771347
2472020,5.040061151534509,2.16990980696057,43.053243635742675
3502008,13.544983051003518,2.038647963136846,15.050945102406807
3507008,4.938151776499367,1.1909027593581412,24.11636606686817
3507024,7.23158501795119,2.658940459990106,36.76843255510009
3509004,10.03702516548654,2.741799760090659,27.31685648770366
