CSDUID,"Population, 2021","Population, 2016",Population Density (sq km),Land Area (sq km),"Population Change (%), 2016 to 2021",Number of Men,Men in Workforce,People in Workforce,"Number of Private Dwellings, 2021","Number of Private Dwellings, 2016","Number of Occupied Private Dwellings, 2021","Number of Occupied Private Dwellings, 2016",Average Household Size,"Total Private Dwellings Change (%), 2016 to 2021","Occupied Dwellings Change (%), 2016 to 2021",Indigenous identity: total count,Indigenous identity: Indigenous identity count,Visible minority: total counts,Visible minority: Total visible minority population,Indigenous identity: Indigenous identity count (%),Visible minority: Total visible minority population (%),Number of Men (%),Men in Workforce (%)
5937028,5323.0,5114.0,1020.0,5.22,4.1,2530.0,,,2292.0,2143.0,2217.0,2132.0,2.3,7.0,4.0,,,5110.0,180.0,,3.52,47.53,
5937033,3028.0,2964.0,710.4,4.26,2.2,1445.0,,,1508.0,1443.0,1436.0,1391.0,2.1,4.5,3.2,,,,,,,47.72,
5937014,44519.0,40116.0,461.7,96.43,11.0,21210.0,,,21287.0,19171.0,19776.0,17799.0,2.2,11.0,11.1,,,43115.0,3460.0,,8.03,47.64,
5907009,1608.0,1502.0,768.3,2.09,7.1,755.0,,,852.0,782.0,809.0,732.0,1.9,9.0,10.5,,,,,,,46.95,
5907014,5094.0,4928.0,927.9,5.49,3.4,2435.0,,,2445.0,2249.0,2312.0,2157.0,2.2,8.7,7.2,,,4960.0,765.0,,15.42,47.8,
5907005,5556.0,5050.0,660.7,8.41,10.0,2620.0,,,3279.0,3048.0,2647.0,2402.0,2.0,7.6,10.2,,,5275.0,530.0,,10.05,47.16,
5907041,36885.0,33761.0,857.3,43.03,9.3,17300.0,,,18457.0,16895.0,17361.0,15740.0,2.1,9.2,10.3,,,35720.0,3195.0,,8.94,46.9,
5955014,12323.0,12178.0,461.1,26.72,1.2,6060.0,,,6189.0,6020.0,5405.0,5035.0,2.2,2.8,7.3,,,12070.0,1635.0,,13.55,49.18,
5955034,21465.0,20260.0,656.9,32.67,5.9,11010.0,,,10004.0,9524.0,8777.0,7977.0,2.4,5.0,10.0,,,21170.0,3435.0,,16.23,51.29,
5927008,13943.0,13157.0,482.4,28.91,6.0,6710.0,,,6718.0,6354.0,6402.0,6078.0,2.1,5.7,5.3,,,13640.0,835.0,,6.12,48.12,
5929005,4758.0,4605.0,1103.2,4.31,3.3,2105.0,,,2482.0,2320.0,2282.0,2221.0,2.0,7.0,2.7,,,,,,,44.24,
5933054,2399.0,2286.0,639.3,3.75,4.9,1160.0,,,1249.0,1169.0,1175.0,1089.0,2.0,6.8,7.9,,,,,,,48.35,
