CSDUID,"Population, 2021","Population, 2016",Population Density (sq km),Land Area (sq km),"Population Change (%), 2016 to 2021",Number of Men,Men in Workforce,People in Workforce,"Number of Private Dwellings, 2021","Number of Private Dwellings, 2016","Number of Occupied Private Dwellings, 2021","Number of Occupied Private Dwellings, 2016",Average Household Size,"Total Private Dwellings Change (%), 2016 to 2021","Occupied Dwellings Change (%), 2016 to 2021",Number of Single-detached Houses,Number of Semi-detached Houses,Number of Row Houses,Number of Apartments (duplex),Number of Apartments (<5 story buildings),Number of Apartments (5+ story buildings),Number of Other Single-attached Houses,Number of Movable Dwellings,Total Dwellings by Type,Indigenous identity: total count,Indigenous identity: Indigenous identity count,Single Indigenous responses,Single Indigenous responses: First Nations,Single Indigenous responses: Métis,Single Indigenous responses: Inuit,Multiple Indigenous responses,Visible minority: total counts,Visible minority: Total visible minority population,Visible minority: South Asian,Visible minority: Chinese,Visible minority: Black,Visible minority: Filipino,Visible minority: Arab,Visible minority: Latin American,Visible minority: Southeast Asian,Visible minority: West Asian,Visible minority: Korean,Visible minority: Japanese,Visible minority: Multiple visible minorities,Visible minority: Not a visible minority,Indigenous identity: Indigenous identity count (%),Single Indigenous responses (%),Single Indigenous responses: First Nations (%),Single Indigenous responses: Métis (%),Single Indigenous responses: Inuit (%),Multiple Indigenous responses (%),Number of Single-detached Houses (%),Number of Semi-detached Houses (%),Number of Row Houses (%),Number of Apartments (duplex) (%),Number of Apartments (<5 story buildings) (%),Number of Apartments (5+ story buildings) (%),Number of Other Single-attached Houses (%),Number of Movable Dwellings (%),Visible minority: Total visible minority population (%),Visible minority: South Asian (%),Visible minority: Chinese (%),Visible minority: Black (%),Visible minority: Filipino (%),Visible minority: Arab (%),Visible minority: Latin American (%),Visible minority: Southeast Asian (%),Visible minority: West Asian (%),Visible minority: Korean (%),Visible minority: Japanese (%),Visible minority: Multiple visible minorities (%),Visible minority: Not a visible minority (%),Number of Men (%),Men in Workforce (%)
1001446,699.0,723.0,60.9,11.48,-3.3,340.0,135.0,270.0,506.0,446.0,327.0,317.0,2.1,13.5,3.2,315.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,330.0,715.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,95.45,0.0,1.52,0.0,1.52,0.0,0.0,0.0,,,,,,,,,,,,,,48.64,50.0
1001375,343.0,395.0,70.0,4.9,-13.2,175.0,70.0,120.0,149.0,162.0,142.0,148.0,2.4,-8.0,-4.1,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,51.02,58.33
1001126,499.0,489.0,49.5,10.09,2.0,250.0,115.0,260.0,314.0,291.0,228.0,211.0,2.2,7.9,8.1,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,545.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,50.1,44.23
1001370,4696.0,4858.0,377.4,12.44,-3.3,2175.0,970.0,1930.0,2289.0,2166.0,2094.0,1982.0,2.2,5.7,5.7,1785.0,55.0,85.0,25.0,145.0,0.0,5.0,0.0,2095.0,4500.0,170.0,150.0,35.0,30.0,85.0,0.0,,,,,,,,,,,,,,,3.78,3.33,0.78,0.67,1.89,0.0,85.2,2.63,4.06,1.19,6.92,0.0,0.24,0.0,,,,,,,,,,,,,,46.32,50.26
1001281,213.0,256.0,11.7,18.14,-16.8,110.0,45.0,75.0,129.0,150.0,111.0,123.0,1.9,-14.0,-9.8,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,95.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,51.64,60.0
1001289,446.0,457.0,15.9,28.08,-2.4,230.0,100.0,195.0,241.0,244.0,204.0,192.0,2.2,-1.2,6.3,200.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,200.0,500.0,20.0,20.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,4.0,4.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,51.57,51.28
1001429,1400.0,1558.0,110.7,12.64,-10.1,665.0,330.0,630.0,678.0,642.0,599.0,555.0,2.2,5.6,7.9,505.0,10.0,50.0,30.0,0.0,0.0,0.0,0.0,595.0,1320.0,60.0,60.0,15.0,20.0,15.0,0.0,,,,,,,,,,,,,,,4.55,4.55,1.14,1.52,1.14,0.0,84.87,1.68,8.4,5.04,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,47.5,52.38
1001207,103.0,80.0,17.1,6.01,28.8,55.0,10.0,20.0,81.0,73.0,54.0,39.0,1.9,11.0,38.5,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,53.4,50.0
1001456,613.0,654.0,23.4,26.24,-6.3,315.0,130.0,245.0,414.0,424.0,269.0,277.0,2.3,-2.4,-2.9,260.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,270.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,96.3,0.0,0.0,0.0,0.0,0.0,0.0,3.7,,,,,,,,,,,,,,51.39,53.06
1001274,208.0,228.0,5.3,39.55,-8.8,105.0,45.0,85.0,108.0,125.0,90.0,95.0,2.3,-13.6,-5.3,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,160.0,20.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,12.5,0.0,0.0,0.0,0.0,0.0,94.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,50.48,52.94
1001485,27168.0,26199.0,454.9,59.72,3.7,13295.0,7350.0,14495.0,11364.0,10553.0,10711.0,9934.0,2.5,7.7,7.8,8190.0,120.0,105.0,2090.0,170.0,5.0,20.0,5.0,10710.0,26750.0,950.0,880.0,525.0,230.0,125.0,15.0,26750.0,275.0,45.0,45.0,85.0,30.0,10.0,35.0,0.0,0.0,0.0,0.0,10.0,26475.0,3.55,3.29,1.96,0.86,0.47,0.06,76.47,1.12,0.98,19.51,1.59,0.05,0.19,0.05,1.03,0.17,0.17,0.32,0.11,0.04,0.13,0.0,0.0,0.0,0.0,0.04,98.97,48.94,50.71
1001461,624.0,685.0,29.1,21.47,-8.9,305.0,110.0,240.0,330.0,392.0,280.0,298.0,2.2,-15.8,-6.0,255.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,280.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,91.07,0.0,3.57,0.0,0.0,0.0,0.0,3.57,,,,,,,,,,,,,,48.88,45.83
1001437,699.0,743.0,64.4,10.86,-5.9,335.0,145.0,265.0,428.0,364.0,325.0,311.0,2.2,17.6,4.5,315.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,325.0,695.0,10.0,10.0,0.0,10.0,0.0,0.0,,,,,,,,,,,,,,,1.44,1.44,0.0,1.44,0.0,0.0,96.92,0.0,3.08,0.0,0.0,0.0,0.0,1.54,,,,,,,,,,,,,,47.93,54.72
1001259,653.0,666.0,0.8,772.38,-2.0,340.0,110.0,245.0,562.0,669.0,324.0,320.0,2.0,-16.0,1.3,315.0,0.0,0.0,5.0,0.0,0.0,5.0,5.0,325.0,610.0,20.0,10.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,3.28,1.64,1.64,0.0,0.0,0.0,96.92,0.0,0.0,1.54,0.0,0.0,1.54,1.54,,,,,,,,,,,,,,52.07,44.9
