CSDNAME,CSDUID,visible minority population  (%)
Brazeau County (4811032) MD,4811032,2.7701
Drayton Valley (4811031) T,4811031,10.1767
Devon (4811018) T,4811018,5.2836
Leduc (4811016) CY,4811016,12.7154
Beaumont (4811013) CY,4811013,16.7866
Leduc County (4811012) MD,4811012,5.4761
Wetaskiwin (4811002) CY,4811002,13.5782
Wetaskiwin County No. 10 (4811001) MD,4811001,2.1888
Lloydminster (Part) (4810039) CY,4810039,13.316
Vermilion River County (4810036) MD,4810036,0.8912
Vegreville (4810028) T,4810028,8.6556
Beaver County (4810016) MD,4810016,1.8248
Camrose (4810011) CY,4810011,10.7506
Camrose County (4810001) MD,4810001,1.8149
Rocky Mountain House (4809015) T,4809015,8.2118
Clearwater County (4809002) MD,4809002,0.6375
Ponoka (4808039) T,4808039,11.3287
Ponoka County (4808038) MD,4808038,1.3178
Lacombe (4808031) CY,4808031,10.8646
Blackfalds (4808029) T,4808029,6.6858
Lacombe County (4808022) MD,4808022,1.7111
Sylvan Lake (4808012) T,4808012,5.3605
Red Deer (4808011) CY,4808011,18.8893
Innisfail (4808008) T,4808008,6.0468
Red Deer County (4808001) MD,4808001,3.5695
Wainwright (4807054) T,4807054,13.4078
Stettler (4807026) T,4807026,10.1946
Stettler County No. 6 (4807019) MD,4807019,2.6497
Olds (4806034) T,4806034,9.1368
Didsbury (4806032) T,4806032,3.9837
Mountain View County (4806028) MD,4806028,1.6843
Airdrie (4806021) CY,4806021,20.4011
Cochrane (4806019) T,4806019,8.5319
Chestermere (4806017) CY,4806017,42.4023
Calgary (4806016) CY,4806016,41.3928
Rocky View County (4806014) MD,4806014,14.3228
Okotoks (4806012) T,4806012,7.6282
High River (4806006) T,4806006,17.5762
Foothills County (4806001) MD,4806001,5.1158
Drumheller (4805026) T,4805026,11.8962
Strathmore (4805018) T,4805018,8.0113
Wheatland County (4805012) MD,4805012,3.3654
Willow Creek No. 26 (4803018) MD,4803018,1.7259
Brooks (4802034) CY,4802034,48.5149
Newell County (4802031) MD,4802031,3.8961
Taber (4802022) T,4802022,11.3414
Taber (4802021) MD,4802021,2.2438
Coaldale (4802019) T,4802019,5.2083
Lethbridge (4802012) CY,4802012,16.2304
Lethbridge County (4802011) MD,4802011,2.9687
Redcliff (4801018) T,4801018,5.4152
Medicine Hat (4801006) CY,4801006,9.0247
Cypress County (4801003) MD,4801003,2.7027
Meadow Lake (4717052) CY,4717052,10.8549
Lloydminster (Part) (4717029) CY,4717029,23.9047
North Battleford (4716029) CY,4716029,16.1601
Prince Albert (4715066) CY,4715066,11.6881
Humboldt (4715008) CY,4715008,13.9535
Melfort (4714051) CY,4714051,8.6919
Martensville (4711070) CY,4711070,5.4632
Warman (4711068) CY,4711068,4.7247
Saskatoon (4711066) CY,4711066,24.7284
Corman Park No. 344 (4711065) RM,4711065,3.9954
Yorkton (4709012) CY,4709012,14.8823
Swift Current (4708004) CY,4708004,14.3432
Moose Jaw (4707039) CY,4707039,10.5766
Regina (4706027) CY,4706027,25.7066
Weyburn (4702047) CY,4702047,13.5441
Estevan (4701024) CY,4701024,14.8706
Norway House 17 (4622058) IRI,4622058,0.1874
Thompson (4622026) CY,4622026,15.1009
The Pas (4621045) T,4621045,8.1614
Gimli (4618031) RM,4618031,2.473
Dauphin (4617050) CY,4617050,7.0682
Neepawa (4615020) T,4615020,53.0631
Stonewall (4614039) T,4614039,1.7034
Rockwood (4614036) RM,4614036,1.9635
St. Clements (4613056) RM,4613056,2.8058
Selkirk (4613047) CY,4613047,6.999
St. Andrews (4613043) RM,4613043,3.4184
West St. Paul (4613037) RM,4613037,15.1002
East St. Paul (4613032) RM,4613032,7.0437
Brokenhead (4612054) RM,4612054,1.2026
Springfield (4612047) RM,4612047,2.2533
Winnipeg (4611040) CY,4611040,34.429
Macdonald (4610035) RM,4610035,8.4703
Portage la Prairie (4609029) CY,4609029,10.4053
Portage la Prairie (4609024) RM,4609024,2.3041
Brandon (4607062) CY,4607062,21.3684
Morden (4603053) CY,4603053,9.3251
Winkler (4603050) CY,4603050,9.4395
Stanley (4603047) RM,4603047,1.0061
Rhineland (4603041) MU,4603041,0.8795
Ritchot (4602075) RM,4602075,4.4266
Taché (4602069) RM,4602069,3.9546
Ste. Anne (4602057) RM,4602057,2.3381
La Broquerie (4602053) RM,4602053,1.6357
Niverville (4602046) T,4602046,7.1672
Steinbach (4602044) CY,4602044,15.7326
Hanover (4602041) RM,4602041,4.698
"Kenora, Unorganized (3560090) NO",3560090,0.6122
Sioux Lookout (3560034) MU,3560034,7.1181
Dryden (3560027) CY,3560027,4.2185
Kenora (3560010) CY,3560010,3.217
Fort Frances (3559012) T,3559012,2.536
"Thunder Bay, Unorganized (3558090) NO",3558090,0.8097
Oliver Paipoonge (3558011) MU,3558011,1.3525
Thunder Bay (3558004) CY,3558004,7.4687
