CSDNAME,CSDUID,visible minority population  (%)
Lac-Brome (2446075) V,2446075,1.8088
Orford (2445115) CT,2445115,0.7
Magog (2445072) V,2445072,2.0393
Coaticook (2444037) V,2444037,1.5072
Sherbrooke (2443027) V,2443027,9.6453
Windsor (2442088) V,2442088,1.497
Cookshire-Eaton (2441038) V,2441038,0.7663
Val-des-Sources (2440043) V,2440043,1.8685
Victoriaville (2439062) V,2439062,3.8563
Bécancour (2438010) V,2438010,1.2158
Notre-Dame-du-Mont-Carmel (2437235) PE,2437235,0.4146
Trois-Rivières (2437067) V,2437067,5.9996
Shawinigan (2436033) V,2436033,2.204
Saint-Raymond (2434128) V,2434128,0.9212
Donnacona (2434025) V,2434025,4.0375
Pont-Rouge (2434017) V,2434017,1.4113
Saint-Apollinaire (2433090) MÉ,2433090,1.7197
Plessisville (2432040) V,2432040,4.5527
Princeville (2432033) V,2432033,2.6939
Thetford Mines (2431084) V,2431084,2.7629
Lac-Mégantic (2430030) V,2430030,2.1602
Saint-Georges (2429073) V,2429073,2.5553
Saint-Joseph-de-Beauce (2427043) V,2427043,1.8789
Beauceville (2427028) V,2427028,1.4262
Saint-Lambert-de-Lauzon (2426070) MÉ,2426070,1.6974
Sainte-Marie (2426030) V,2426030,3.7975
Lévis (2425213) V,2425213,3.9867
Saint-Augustin-de-Desmaures (2423072) V,2423072,2.4409
L'Ancienne-Lorette (2423057) V,2423057,4.8951
Québec (2423027) V,2423027,9.4417
Sainte-Brigitte-de-Laval (2422045) V,2422045,1.1848
Lac-Beauport (2422040) MÉ,2422040,2.0308
Stoneham-et-Tewkesbury (2422035) CU,2422035,2.0693
Shannon (2422020) V,2422020,2.4162
Sainte-Catherine-de-la-Jacques-Cartier (2422005) V,2422005,0.8323
Boischatel (2421045) MÉ,2421045,2.7933
Saint-Henri (2419068) MÉ,2419068,1.8166
Montmagny (2418050) V,2418050,2.0532
Baie-Saint-Paul (2416013) V,2416013,1.8558
La Malbaie (2415013) V,2415013,0.8739
Témiscouata-sur-le-Lac (2413073) V,2413073,1.1435
Rivière-du-Loup (2412072) V,2412072,3.1805
Rimouski (2410043) V,2410043,2.5387
Mont-Joli (2409077) V,2409077,0.8432
Matane (2408053) V,2408053,1.5902
Amqui (2407047) V,2407047,0.4322
Sainte-Anne-des-Monts (2404037) V,2404037,1.3322
Gaspé (2403005) V,2403005,1.9454
Chandler (2402028) V,2402028,0.4068
Les Îles-de-la-Madeleine (2401023) MÉ,2401023,0.3777
Beresford (1315012) P,1315012,0.986
Bathurst (1315011) C,1315011,6.0671
Tracadie (1315002) MRM,1315002,0.7029
Campbellton (1314014) C,1314014,4.2122
Edmundston (1313027) C,1313027,3.9004
Grand Falls / Grand-Sault (1312019) TV,1312019,3.2673
Woodstock (1311006) TV,1311006,8.785
Fredericton (1310032) C,1310032,14.005
Saint Marys (1310031) P,1310031,1.9704
Douglas (1310028) P,1310028,2.705
Miramichi (1309050) C,1309050,3.5766
Shediac (1307052) TV,1307052,8.0772
Dieppe (1307045) C,1307045,10.6091
Moncton (1307022) C,1307022,14.9151
Moncton (1307019) P,1307019,1.317
Shediac (1307016) P,1307016,0.9747
Memramcook (1307013) VL,1307013,2.1978
Sackville (1307009) TV,1307009,6.3398
Beaubassin East / Beaubassin-est (1307005) RCR,1307005,2.6119
Riverview (1306020) TV,1306020,6.4548
Quispamsis (1305057) TV,1305057,5.6022
Rothesay (1305045) TV,1305045,5.6232
Oromocto (1303012) TV,1303012,3.7305
Burton (1303011) P,1303011,2.029
Lincoln (1303008) P,1303008,1.6678
Saint John (1301006) C,1301006,10.8618
Cape Breton (1217030) RGM,1217030,5.3633
"Inverness, Subd. A (1215011) SC",1215011,2.6627
"Antigonish, Subd. B (1214006) SC",1214006,3.0204
"Antigonish, Subd. A (1214001) SC",1214001,6.4825
New Glasgow (1212014) T,1212014,9.8423
"Pictou, Subd. C (1212011) SC",1212011,1.8641
"Pictou, Subd. B (1212006) SC",1212006,2.1941
"Pictou, Subd. A (1212001) SC",1212001,1.5447
Amherst (1211011) T,1211011,4.9757
"Cumberland, Subd. C (1211009) SC",1211009,0.9735
"Cumberland, Subd. B (1211006) SC",1211006,1.8898
"Colchester, Subd. B (1210008) SC",1210008,3.6452
Truro (1210006) T,1210006,10.3462
"Colchester, Subd. C (1210001) SC",1210001,1.5694
Halifax (1209034) RGM,1209034,16.7576
East Hants (1208008) MD,1208008,2.5377
West Hants (1208003) RM,1208003,4.0523
Wolfville (1207024) T,1207024,12.6674
"Kings, Subd. D (1207021) SC",1207021,2.8763
"Kings, Subd. B (1207016) SC",1207016,4.3642
Kentville (1207012) T,1207012,8.7981
"Kings, Subd. C (1207011) SC",1207011,6.4904
"Kings, Subd. A (1207001) SC",1207001,2.9285
Chester (1206009) MD,1206009,1.5152
Bridgewater (1206004) T,1206004,5.2972
Lunenburg (1206001) MD,1206001,1.5363
"Annapolis, Subd. C (1205014) SC",1205014,1.6409
"Annapolis, Subd. A (1205004) SC",1205004,2.7004
Queens (1204010) RGM,1204010,2.4842
Digby (1203004) MD,1203004,5.8051
Clare (1203001) MD,1203001,2.6613
Yarmouth (1202006) T,1202006,8.4528
Yarmouth (1202004) MD,1202004,2.2636
Argyle (1202001) MD,1202001,1.2837
Barrington (1201001) MD,1201001,1.5492
Summerside (1103025) CY,1103025,8.9418
Cornwall (1102085) T,1102085,12.4523
Stratford (1102080) T,1102080,14.424
Charlottetown (1102075) CY,1102075,21.7686
Three Rivers (1101045) T,1101045,4.0634
Labrador City (1010032) T,1010032,8.1191
Happy Valley-Goose Bay (1010025) T,1010025,7.3808
Clarenville (1007013) T,1007013,3.2533
Grand Falls-Windsor (1006017) T,1006017,2.7941
Gander (1006009) T,1006009,2.6851
Corner Brook (1005018) CY,1005018,2.8233
Stephenville (1004019) T,1004019,2.9992
Marystown (1002024) T,1002024,1.1811
Mount Pearl (1001542) CY,1001542,2.2814
St. John's (1001519) CY,1001519,10.1389
Paradise (1001517) T,1001517,1.5132
Torbay (1001509) T,1001509,1.4139
Portugal Cove-St. Philip's (1001504) T,1001504,2.555
Conception Bay South (1001485) T,1001485,1.028
Bay Roberts (1001409) T,1001409,0.5055
