CSDNAME,CSDUID,"Population, 2021","Population percentage change, 2016 to 2021 (%)",Total private dwellings,Private dwellings occupied by usual residents,Land Area (sq km),Population Density (sq km),Indigenous identity (%),Single Indigenous responses (%),First Nations (%),Métis (%),Inuit (%),Multiple Indigenous responses (%),Indigenous responses nie (%),Non-Indigenous identity (%),Proportion of the Labour Force that is Men+ (%),Proportion of the Employed Population that is Men+ (%),visible minority population  (%),Aggregate after-tax income of households
Diamond Valley,4806011,5341,1.5,2366,2251,12.57,424.9005569,7.217473884,6.647673314,1.804368471,4.65337132,0,0.379867047,0.189933523,92.78252612,51.83752418,53.07855626,,186000000
Lloydminster,4810039,31582,0.5,13532,12079,42.04,751.2369172,13.33118141,12.95997418,5.923176243,7.004519045,0.03227889,0.242091672,0.129115558,86.66881859,52.47354876,52.21039045,17.33376372,1109000000
