GEO,CSDUID,Indigenous identity,Single Indigenous responses,First Nations,Métis,Inuit,Multiple Indigenous responses,Indigenous responses nie,Non-Indigenous identity
Saint-Luc-de-Bellechasse,2428060,0,0,0,0,0,0,0,100
Sainte-Sabine,2428065,0,0,0,0,0,0,0,100
Saint-Camille-de-Lellis,2428070,2.1,2.1,0,2.1,0,0,0,97.3
Saint-Magloire,2428075,2.2,2.2,0,0,0,0,0,98.5
Saint-Théophile,2429005,2.2,2.2,0,1.5,0,0,0,97.8
Saint-Gédéon-de-Beauce,2429013,0,0,0,0,0,0,0,100
Saint-Hilaire-de-Dorset,2429020,0,0,0,0,0,0,0,100
Saint-Évariste-de-Forsyth,2429025,1.9,0,0,0,0,0,0,98.1
La Guadeloupe,2429030,2.3,2.3,1.5,0.6,0,0,0,98
Saint-Honoré-de-Shenley,2429038,0.7,0.7,0,0,0,0,0,99.7
Saint-Martin,2429045,1.4,1.4,1.4,0,0,0,0,98.6
Saint-René,2429050,2.1,2.1,1.6,0,0,0,0,97.9
Saint-Côme--Linière,2429057,1.5,1.5,0.9,0.5,0,0,0,98.5
Saint-Philibert,2429065,0,0,0,0,0,0,0,100
Saint-Georges,2429073,1.4,1.3,0.8,0.4,0.1,0,0.1,98.6
Lac-Poulin,2429095,0,0,0,0,0,0,0,93.3
Saint-Benoît-Labre,2429100,0.6,0.6,0,0.6,0,0,0,99.1
Saint-Éphrem-de-Beauce,2429112,3.7,2.6,1.5,0.9,0,0.9,0,96.5
Notre-Dame-des-Pins,2429120,0.9,0.9,0.9,0,0,0,0,99.4
Saint-Simon-les-Mines,2429125,3.8,3.8,0,0,0,0,0,96.2
Saint-Augustin-de-Woburn,2430005,4.3,2.9,2.9,0,0,0,0,95.7
Notre-Dame-des-Bois,2430010,3.4,3.4,3.4,0,0,0,0,96.6
Val-Racine,2430015,0,0,0,0,0,0,0,97
Piopolis,2430020,2.4,2.4,2.4,0,0,0,0,96.4
Frontenac,2430025,2.2,2.2,0,1.4,0,0,0,97.8
Lac-Mégantic,2430030,2.6,2.4,1.1,1.4,0,0,0,97.4
Marston,2430035,4.8,4.8,1.4,4.1,0,0,0,94.6
Milan,2430040,8.2,8.2,4.9,3.3,0,0,0,91.8
Nantes,2430045,4,3.2,1.1,2.2,0,0,0,96
Sainte-Cécile-de-Whitton,2430050,0,0,0,0,0,0,0,100
Audet,2430055,4.3,4.3,0,3.6,0,0,0,96.4
Saint-Robert-Bellarmin,2430070,1.8,1.8,1.8,0,0,0,0,98.2
Saint-Ludger,2430072,0,0,0,0,0,0,0,100
Lac-Drolet,2430080,1,1,0,1,0,0,0,99
Saint-Sébastien,2430085,2.3,1.5,1.5,0,0,0,0,97
Courcelles,2430090,0,0,0,0,0,0,0,100
Lambton,2430095,1,1,1,0,0,0,0,99
Saint-Romain,2430100,3.1,3.1,3.1,0,0,0,0,96.9
Stornoway,2430105,0,0,0,0,0,0,0,97.6
Stratford,2430110,0,0,0,0,0,0,0,100
Beaulac-Garthby,2431008,0,0,0,0,0,0,0,100
Disraeli,2431015,1.5,1.5,1.3,0,0,0,0,98.7
Disraeli,2431020,1.7,1.7,1.7,0,0,0,0,98.3
Saint-Jacques-le-Majeur-de-Wolfestown,2431025,0,0,0,0,0,0,0,100
Saint-Fortunat,2431030,0,0,0,0,0,0,0,100
Saint-Julien,2431035,0,0,0,0,0,0,0,100
Irlande,2431040,0,0,0,0,0,0,0,99.4
Saint-Joseph-de-Coleraine,2431045,0,0,0,0,0,0,0,99.7
Sainte-Praxède,2431050,7.7,7.7,0,4.6,0,0,0,92.3
Adstock,2431056,1.6,1.6,1.4,0,0,0,0,98.3
Sainte-Clotilde-de-Beauce,2431060,0,0,0,0,0,0,0,99.2
Thetford Mines,2431084,1.2,1.2,0.8,0.3,0,0,0.1,98.7
Saint-Adrien-d'Irlande,2431095,2.5,2.5,0,2.5,0,0,0,96.3
Saint-Jean-de-Brébeuf,2431100,0,0,0,0,0,0,0,97.2
Kinnear's Mills,2431105,0,0,0,0,0,0,0,100
East Broughton,2431122,2.1,2.1,1.1,0.9,0,0,0,97.9
Sacré-Coeur-de-Jésus,2431130,0,0,0,0,0,0,0,100
Saint-Pierre-de-Broughton,2431135,1.8,1.8,1.2,0,0,0,0,98.8
Saint-Jacques-de-Leeds,2431140,0,0,0,0,0,0,0,100
Saint-Ferdinand,2432013,0.5,0.5,0.5,0,0,0,0,99.7
Sainte-Sophie-d'Halifax,2432023,0,0,0,0,0,0,0,100
Princeville,2432033,1.5,1.4,1.1,0.2,0,0,0,98.5
Plessisville,2432040,0.8,0.8,0.5,0.4,0,0,0,99.2
Plessisville,2432045,2.3,2.3,1,1.1,0,0,0,97.5
Saint-Pierre-Baptiste,2432050,0,0,0,0,0,0,0,95.6
Inverness,2432058,3.4,2.8,0,2.8,0,0,0,97.2
Lyster,2432065,3.9,3.9,3.9,0,0,0,0,96.1
Laurierville,2432072,1.9,1.9,0,1.6,0,0,0,98.1
Notre-Dame-de-Lourdes,2432080,1.9,1.9,0,0,0,0,0,97.5
Villeroy,2432085,3.1,3.1,0,0,0,0,0,96.9
Saint-Sylvestre,2433007,2.5,2.5,0,2,0,0,0,97.5
Sainte-Agathe-de-Lotbinière,2433017,2,2,0,0,0,0,0,98
Saint-Patrice-de-Beaurivage,2433025,0,0,0,0,0,0,0,99.1
Saint-Narcisse-de-Beaurivage,2433030,0,0,0,0,0,0,0,100
Saint-Gilles,2433035,2.3,2.3,1.2,0.9,0,0,0,97.9
Dosquet,2433040,0,0,0,0,0,0,0,99.5
Saint-Agapit,2433045,1.7,1.3,0.6,0.9,0,0,0,98.3
Saint-Flavien,2433052,3.2,3.2,3.2,0,0,0,0,97.1
Laurier-Station,2433060,1,1,0.4,0.6,0,0,0,99.2
Saint-Janvier-de-Joly,2433065,3.8,3.8,2.8,0,0,0,0,96.7
Val-Alain,2433070,3.9,3.9,0,2,1,0,0,96.1
Saint-Édouard-de-Lotbinière,2433080,4.1,4.1,0,4.1,0,0,0,95.5
Notre-Dame-du-Sacré-Coeur-d'Issoudun,2433085,0,0,0,0,0,0,0,99.4
Saint-Apollinaire,2433090,0.9,0.8,0.5,0.4,0,0,0,99.1
Saint-Antoine-de-Tilly,2433095,0,0,0,0,0,0,0,99.4
Sainte-Croix,2433102,0.4,0.4,0.4,0,0,0,0,99.4
Lotbinière,2433115,0,0,0,0,0,0,0,100
Leclercville,2433123,2.2,2.2,0,2.2,0,0,0,97.8
Neuville,2434007,1.6,1.6,1.1,0.4,0,0,0,98.4
Pont-Rouge,2434017,1.2,1.2,0.9,0.3,0,0,0,98.7
Donnacona,2434025,1.6,1.4,0.5,0.9,0,0,0.1,98.5
Cap-Santé,2434030,1.8,1.8,1,0.8,0,0,0,98.2
Saint-Basile,2434038,1.7,1.7,0.9,0.7,0,0,0,98.3
Portneuf,2434048,2,2,1.4,0.5,0,0,0,98
Deschambault-Grondines,2434058,4,4,3.4,0,0,0,0,96
Saint-Gilbert,2434060,0,0,0,0,0,0,0,100
Saint-Marc-des-Carrières,2434065,2,1.8,1.1,0.7,0,0,0,98
Saint-Casimir,2434078,1.8,1.4,0.7,0.7,0,0,0,98.2
Saint-Thuribe,2434085,0,0,0,0,0,0,0,100
Saint-Ubalde,2434090,0.7,0.7,0.7,0,0,0,0,99.7
Saint-Alban,2434097,0.8,0.8,0,0,0,0,0,99.2
Sainte-Christine-d'Auvergne,2434105,1.7,1.7,0,1.7,0,0,0,97.5
Saint-Léonard-de-Portneuf,2434115,3.1,1.8,0,0,0,0,0,96.9
Lac-Sergent,2434120,3,3,0,0,0,0,0,97
Saint-Raymond,2434128,2.7,2.7,1.7,0.9,0.1,0,0,97.3
Rivière-à-Pierre,2434135,2.3,2.3,0,1.6,0,0,0,98.4
Lac-Blanc,2434902,,,,,,,,
Linton,2434904,,,,,,,,
Lac-Lapeyrère,2434906,,,,,,,,
Notre-Dame-de-Montauban,2435005,3.5,3.5,2.1,1.4,0,0,0,95.8
Lac-aux-Sables,2435010,1.8,1.8,1.8,0,0,0,0,98.2
Saint-Adelphe,2435015,0,0,0,0,0,0,0,98.9
Saint-Séverin,2435020,0,0,0,0,0,0,0,98.9
Saint-Tite,2435027,1.1,1.1,0.6,0.6,0,0,0,98.7
Hérouxville,2435035,2.6,2.6,2.6,0,0,0,0,97.4
Grandes-Piles,2435040,0,0,0,0,0,0,0,100
Saint-Roch-de-Mékinac,2435045,2.7,2.7,0,2.7,0,0,0,98.6
Sainte-Thècle,2435050,1.5,1.5,1.1,0.6,0,0,0,98.3
Trois-Rives,2435055,0,0,0,0,0,0,0,98.1
Lac-Masketsi,2435902,,,,,,,,
Lac-Normand,2435904,,,,,,,,
Rivière-de-la-Savane,2435906,,,,,,,,
Lac-Boulé,2435908,,,,,,,,
Shawinigan,2436033,1.7,1.5,0.7,0.8,0,0.1,0.1,98.3
Trois-Rivières,2437067,1.9,1.8,1.1,0.6,0,0,0.1,98.1
Sainte-Anne-de-la-Pérade,2437205,2.3,2.3,1.5,0.8,0,0,0,97.7
Batiscan,2437210,1.5,1.5,0,1.5,0,0,0,98.5
Sainte-Geneviève-de-Batiscan,2437215,2,1,0,1,0,0,0,98
Champlain,2437220,0.8,0.8,0,0.6,0,0,0,98.9
Saint-Luc-de-Vincennes,2437225,2.9,2.9,2.9,0,0,0,0,98.1
Saint-Maurice,2437230,2.1,1.9,0.9,1,0,0,0.3,97.9
Notre-Dame-du-Mont-Carmel,2437235,1.7,1.6,1.4,0.2,0,0,0.2,98.3
Saint-Narcisse,2437240,0,0,0,0,0,0,0,99.4
Saint-Stanislas,2437245,3.4,3.4,3.4,0,0,0,0,97.1
Saint-Prosper-de-Champlain,2437250,0,0,0,0,0,0,0,100
Saint-Sylvère,2438005,0,0,0,0,0,0,0,98.7
Bécancour,2438010,1.5,1.4,1.3,0.2,0,0,0.1,98.5
Sainte-Marie-de-Blandford,2438015,0,0,0,0,0,0,0,100
Lemieux,2438020,3.6,3.6,0,0,0,0,0,94.6
Manseau,2438028,3.8,3.8,1.3,2.5,0,0,0,96.2
Sainte-Françoise,2438035,3.9,3.9,1.9,0,0,0,0,97.1
Sainte-Sophie-de-Lévrard,2438040,3.8,3.8,3,0,0,0,0,96.2
Fortierville,2438047,2.2,2.2,2.2,0,0,0,0,97.1
Parisville,2438055,0,0,0,0,0,0,0,100
Sainte-Cécile-de-Lévrard,2438060,0,0,0,0,0,0,0,100
Saint-Pierre-les-Becquets,2438065,0,0,0,0,0,0,0,100
Deschaillons-sur-Saint-Laurent,2438070,0,0,0,0,0,0,0,100
Wôlinak,2438802,65.8,60.5,60.5,0,0,0,0,39.5
Saints-Martyrs-Canadiens,2439005,7.5,5.7,0,5.7,0,0,0,92.5
Ham-Nord,2439010,1.2,1.2,0,0,0,0,0,98.2
Notre-Dame-de-Ham,2439015,0,0,0,0,0,0,0,100
Saint-Rémi-de-Tingwick,2439020,0,0,0,0,0,0,0,97.6
Tingwick,2439025,1.4,1.4,0.7,0,0,0,0,99
Chesterville,2439030,0,0,0,0,0,0,0,98.9
Sainte-Hélène-de-Chester,2439035,0,0,0,0,0,0,0,100
Saint-Norbert-d'Arthabaska,2439043,0.8,0.8,0.8,0,0,0,0,98.8
Saint-Christophe-d'Arthabaska,2439060,0.6,0.6,0.5,0.5,0,0,0,99.2
Victoriaville,2439062,1.1,1.1,0.7,0.4,0,0,0.1,98.8
Warwick,2439077,0.9,0.9,0.3,0.4,0,0,0,99.2
Saint-Albert,2439085,0,0,0,0,0,0,0,99.4
Sainte-Élizabeth-de-Warwick,2439090,0,0,0,0,0,0,0,96.4
Kingsey Falls,2439097,0,0,0,0,0,0,0,99.7
Sainte-Séraphine,2439105,0,0,0,0,0,0,0,100
Sainte-Clotilde-de-Horton,2439117,2.9,2.9,0.7,2,0,0,0,96.7
Saint-Samuel,2439130,0,0,0,0,0,0,0,100
Saint-Valère,2439135,2.1,1.7,1.7,0,0,0,0,97.9
Saint-Rosaire,2439145,0,0,0,0,0,0,0,99.5
Daveluyville,2439152,3.2,3.2,1.9,0.8,0,0,0,96.8
Maddington Falls,2439165,0,0,0,0,0,0,0,100
Saint-Louis-de-Blandford,2439170,6.1,6.1,0,4.7,0,0,0,94.4
Ham-Sud,2440005,0,0,0,0,0,0,0,97.4
Saint-Adrien,2440010,0,0,0,0,0,0,0,97.4
Wotton,2440017,0.7,0.7,0.7,0,0,0,0,99.6
Saint-Camille,2440025,3,3,3,0,0,0,0,97
Saint-Georges-de-Windsor,2440032,3.7,3.7,3.2,0,0,0,0,96.3
Val-des-Sources,2440043,2.2,2.2,1.4,0.7,0,0,0,97.8
Danville,2440047,2.5,2.3,2.1,0.5,0,0,0,97.4
Saint-Isidore-de-Clifton,2441012,1.4,1.4,0,0,0,0,0,97.9
Chartierville,2441020,2.9,2.9,0,2.9,0,0,0,97.1
La Patrie,2441027,3.1,1.9,1.9,0,0,0,1.2,96.9
Newport,2441037,2.9,2.9,0,2.2,0,0,0,97.1
Cookshire-Eaton,2441038,1.3,1.1,0.5,0.8,0,0,0,98.7
Ascot Corner,2441055,1.8,1.8,1,0.7,0,0,0,98.2
East Angus,2441060,2.3,2.2,1.4,0.7,0,0,0,97.5
Westbury,2441065,1.4,1.4,0,0.9,0,0,0,98.6
Bury,2441070,0,0,0,0,0,0,0,99.2
Hampden,2441075,0,0,0,0,0,0,0,100
Scotstown,2441080,3,3,2,0,0,0,0,98
Lingwick,2441085,0,0,0,0,0,0,0,98.8
Weedon,2441098,1.2,1.2,1.2,0,0,0,0,98.8
Dudswell,2441117,1.1,1.1,0.9,0.6,0,0,0,98.6
Stoke,2442005,1.3,1.2,0.5,0.5,0,0,0.3,98.5
Saint-François-Xavier-de-Brompton,2442020,0,0,0,0,0,0,0,100
Saint-Denis-de-Brompton,2442025,2.7,2.5,1.7,0.9,0,0,0,97.3
Racine,2442032,0,0,0,0,0,0,0,99.6
Bonsecours,2442040,1.6,1.6,1.6,0,0,0,0,98.4
Lawrenceville,2442045,0,0,0,0,0,0,0,100
Sainte-Anne-de-la-Rochelle,2442050,0,0,0,0,0,0,0,95.3
Valcourt,2442055,1.2,1,0.5,0,0,0,0,98.8
Valcourt,2442060,2.4,2.4,0,2.4,0,0,0,97.6
Maricourt,2442065,0,0,0,0,0,0,0,100
Kingsbury,2442070,0,0,0,0,0,0,0,100
Melbourne,2442075,0,0,0,0,0,0,0,99.5
Ulverton,2442078,3,3,3,0,0,0,0,96
Windsor,2442088,1.1,0.9,0.9,0,0,0,0,98.9
Val-Joli,2442095,1.2,0.6,0.6,0,0,0,0.6,99.1
Richmond,2442098,1.7,1.6,0.8,0.8,0,0,0,98.3
Saint-Claude,2442100,1.8,1.8,1.8,0,0,0,0,98.2
Cleveland,2442110,0,0,0,0,0,0,0,98.9
Sherbrooke,2443027,1.7,1.6,1.1,0.5,0.1,0,0.1,98.3
Saint-Malo,2444003,0,0,0,0,0,0,0,100
Saint-Venant-de-Paquette,2444005,0,0,0,0,0,0,0,100
East Hereford,2444010,14.5,14.5,5.5,0,0,0,0,83.6
Saint-Herménégilde,2444015,3.1,3.1,0,1.8,0,0,0,97.5
Dixville,2444023,3.4,3.4,3.4,0,0,0,0,96.6
Coaticook,2444037,2.6,2.4,1.7,0.7,0,0,0.1,97.4
Barnston-Ouest,2444045,0,0,0,0,0,0,0,100
Stanstead-Est,2444050,1.7,1.7,0,0,0,0,0,98.3
Sainte-Edwidge-de-Clifton,2444055,0,0,0,0,0,0,0,99.1
Martinville,2444060,2.4,2.4,2.4,0,0,0,0,97.6
Compton,2444071,2.7,2.7,0.8,1.7,0,0,0,97.2
Waterville,2444080,1.5,1.3,0.7,0.9,0,0,0,98.7
Stanstead,2445008,2.2,2,2,0,0,0,0,97.6
Ogden,2445020,2.8,2.8,1.4,0,0,0,0,97.2
Stanstead,2445025,2.2,2.2,0,2.2,0,0,0,97.4
Potton,2445030,2.5,2,1.7,0,0,0,0.7,97.3
Ayer's Cliff,2445035,6.7,6.3,4.6,0.8,0,0,0,93.3
Hatley,2445043,6,4.7,4.7,0,0,0,0,94
North Hatley,2445050,0,0,0,0,0,0,0,98.4
Hatley,2445055,3.6,3.6,1.6,2,0,0,0,96.4
Sainte-Catherine-de-Hatley,2445060,1.1,0.9,0.9,0,0,0,0,98.9
Magog,2445072,2,1.9,1.4,0.6,0,0,0,98
Saint-Benoît-du-Lac,2445080,,,,,,,,
Austin,2445085,2.6,2.6,0.9,1.4,0,0,0,97.4
Eastman,2445093,2,1.8,1.1,0.7,0,0,0,97.8
Bolton-Est,2445095,0,0,0,0,0,0,0,99.6
Saint-Étienne-de-Bolton,2445100,4.9,4.9,0,3,0,0,0,95.1
Stukely-Sud,2445105,1.7,1.7,0,1.3,0,0,0,97.8
Orford,2445115,1.4,1.2,0.6,0.6,0,0,0,98.6
Abercorn,2446005,0,0,0,0,0,0,0,98.4
Frelighsburg,2446010,0,0,0,0,0,0,0,100
Saint-Armand,2446017,0.8,0.8,0,0,0,0,0,99.2
Pike River,2446025,0,0,0,0,0,0,0,99
Stanbridge Station,2446030,0,0,0,0,0,0,0,100
Bedford,2446035,2.2,2,2,0,0,0,0,97.8
Bedford,2446040,0,0,0,0,0,0,0,99.2
Stanbridge East,2446045,1.7,1.7,1.7,0,0,0,0,98.3
Dunham,2446050,3.1,3.1,2.3,0.8,0,0,0,96.9
Sutton,2446058,0.9,0.7,0.6,0,0,0,0,99.1
Bolton-Ouest,2446065,0,0,0,0,0,0,0,99.3
Brome,2446070,0,0,0,0,0,0,0,98.6
Lac-Brome,2446075,1.4,1.2,1,0.2,0,0,0.2,98.6
Bromont,2446078,1.3,1.3,0.8,0.4,0,0,0,98.7
Cowansville,2446080,3,2.9,1.4,1.3,0.1,0,0.1,96.9
East Farnham,2446085,0,0,0,0,0,0,0,100
Brigham,2446090,0.7,0.7,0.7,0,0,0,0,99.6
Saint-Ignace-de-Stanbridge,2446095,0,0,0,0,0,0,0,99.4
Notre-Dame-de-Stanbridge,2446100,0,0,0,0,0,0,0,95.7
Sainte-Sabine,2446105,1.4,1.4,1.4,0,0,0,0,99.1
Farnham,2446112,1.7,1.7,1.1,0.4,0.2,0,0,98.3
Saint-Alphonse-de-Granby,2447010,1.7,1.7,1.5,0,0,0,0,98.3
Granby,2447017,2,1.7,1.3,0.4,0,0.1,0.2,98
Waterloo,2447025,1.7,1.5,1.5,0,0,0,0.2,98.3
Warden,2447030,2.9,2.9,0,0,0,0,0,97.1
Shefford,2447035,1.8,1.7,1.2,0.5,0,0,0,98.2
Saint-Joachim-de-Shefford,2447040,1.7,1.7,1.7,0,0,0,0,98.3
Roxton Pond,2447047,1.1,1.1,0.8,0,0,0,0,98.8
Sainte-Cécile-de-Milton,2447055,1.6,1.6,0,0,0,0,0,98.2
Béthanie,2448005,0,0,0,0,0,0,0,93.8
Roxton Falls,2448010,1.5,1.5,0,0.8,0,0,0,98.5
Roxton,2448015,3.4,3,0,2.1,0,0,0.8,96.6
Sainte-Christine,2448020,0,0,0,0,0,0,0,100
Acton Vale,2448028,2.3,2.3,1.4,0.7,0,0,0,97.7
Upton,2448038,1.2,1,0.7,0,0,0,0.5,98.8
Saint-Théodore-d'Acton,2448045,1.9,1.9,1.3,0.6,0,0,0,98.1
Saint-Nazaire-d'Acton,2448050,3.8,3.8,1.6,0,0,0,0,96.2
Saint-Félix-de-Kingsey,2449005,1.7,1.7,1,0.7,0,0,0,98.3
Durham-Sud,2449015,0,0,0,0,0,0,0,100
Lefebvre,2449020,1.1,0,0,0,0,0,0,98.9
L'Avenir,2449025,0.8,0,0,0,0,0,0,99.2
Saint-Lucien,2449030,1.1,0.8,0.8,0,0,0,0,99.2
Wickham,2449040,0.4,0.4,0,0,0,0,0,99.4
Saint-Germain-de-Grantham,2449048,1,1,0.8,0.3,0,0,0,99
Drummondville,2449058,1.7,1.6,1,0.5,0,0,0.1,98.3
Saint-Cyrille-de-Wendover,2449070,2.1,2,1.9,0,0,0,0,97.9
Notre-Dame-du-Bon-Conseil,2449075,3.4,3.4,1.8,1.5,0,0,0,96.6
Notre-Dame-du-Bon-Conseil,2449080,0,0,0,0,0,0,0,99.4
Sainte-Brigitte-des-Saults,2449085,0,0,0,0,0,0,0,98.6
Saint-Majorique-de-Grantham,2449095,0,0,0,0,0,0,0,99.6
Saint-Edmond-de-Grantham,2449100,2.6,2.6,0,0,0,0,0,96.8
Saint-Eugène,2449105,7,7,4.8,2.2,0,0,0,92.5
Saint-Guillaume,2449113,2.4,2.4,0.7,1.7,0,0,0,97.6
Saint-Bonaventure,2449125,0,0,0,0,0,0,0,100
Saint-Pie-de-Guire,2449130,0,0,0,0,0,0,0,96.9
Sainte-Eulalie,2450005,1.5,1.5,1,1,0,0,0,98
Aston-Jonction,2450013,2.4,2.4,0,2.4,0,0,0,97.6
Saint-Wenceslas,2450023,0,0,0,0,0,0,0,100
Saint-Célestin,2450030,0,0,0,0,0,0,0,100
Saint-Célestin,2450035,0,0,0,0,0,0,0,99.1
Saint-Léonard-d'Aston,2450042,2.8,2.8,2.2,0.4,0,0,0,97.4
Sainte-Perpétue,2450050,0,0,0,0,0,0,0,98.9
Sainte-Monique,2450057,0,0,0,0,0,0,0,100
Grand-Saint-Esprit,2450065,0,0,0,0,0,0,0,100
Nicolet,2450072,1.8,1.6,1.5,0.1,0,0,0.2,98.2
La Visitation-de-Yamaska,2450085,0,0,0,0,0,0,0,98.2
Saint-Zéphirin-de-Courval,2450090,0,0,0,0,0,0,0,93.3
Saint-Elphège,2450095,0,0,0,0,0,0,0,100
Baie-du-Febvre,2450100,1,1,1,0,0,0,0,99.5
Pierreville,2450113,2.4,1.9,1,0,0,0,0,97.6
Saint-François-du-Lac,2450128,0.8,0.5,0.5,0,0,0,0,98.9
Odanak,2450802,69.5,67.4,64.2,3.2,0,0,2.1,30.5
Maskinongé,2451008,3.3,3,2.2,0.7,0,0,0,96.7
Louiseville,2451015,2,1.8,1.2,0.5,0,0,0.3,98.1
Yamachiche,2451020,1.4,1.3,0.5,0.9,0,0,0,98.6
Saint-Barnabé,2451025,3,2.5,0,2.1,0,0,0,97.5
Saint-Sévère,2451030,0,0,0,0,0,0,0,98.6
Saint-Léon-le-Grand,2451035,1.9,1.9,0,0,0,0,0,98.1
Sainte-Ursule,2451040,2.6,2.6,2.2,0,0,0,0,97.4
Saint-Justin,2451045,1.6,1.6,0,1.1,0,0,0,97.9
Saint-Édouard-de-Maskinongé,2451050,0,0,0,0,0,0,0,98.8
Sainte-Angèle-de-Prémont,2451055,1.8,1.8,0,0,0,0,0,97.3
Saint-Paulin,2451060,1.3,1.3,0.7,1,0,0,0,98.4
Saint-Alexis-des-Monts,2451065,1.8,1.7,1,0.7,0,0,0,98
Saint-Mathieu-du-Parc,2451070,0.7,0.7,0,0.7,0,0,0,99
Saint-Élie-de-Caxton,2451075,3.9,3.9,2.9,1.3,0,0,0,96.1
Charette,2451080,1.4,1.4,0.9,0,0,0,0,99.1
Saint-Boniface,2451085,2.7,2.4,1.5,1,0,0,0.2,97.3
Saint-Étienne-des-Grès,2451090,1.4,1.2,0.6,0.7,0,0,0,98.6
Lavaltrie,2452007,2.2,2.1,1.3,0.8,0,0,0.2,97.8
Lanoraie,2452017,0.9,0.9,0,0.4,0,0,0,99.1
Sainte-Élisabeth,2452030,1.8,1.4,0.7,0.7,0,0,0,97.8
Berthierville,2452035,1.7,1.3,0.6,0.6,0,0,0.4,98.3
Sainte-Geneviève-de-Berthier,2452040,2,2,1.8,0,0,0,0,97.8
Saint-Ignace-de-Loyola,2452045,2.4,2.4,2.4,0,0,0,0,97.6
La Visitation-de-l'Île-Dupas,2452050,2.1,2.1,1.4,1.4,0,0,0,97.9
Saint-Barthélemy,2452055,1.9,1.7,1.4,0,0,0,0,98.1
Saint-Cuthbert,2452062,1.4,1.1,0.5,0,0,0,0,98.6
Saint-Norbert,2452070,2.4,2.4,0,1.4,0,0,0,97.6
Saint-Cléophas-de-Brandon,2452075,16,16,0,12,0,0,0,84
Saint-Gabriel,2452080,1,1,0.4,0,0,0,0,98.9
Saint-Gabriel-de-Brandon,2452085,1.5,1.3,0.9,0,0,0,0,98.3
Saint-Didace,2452090,2.2,2.2,0,1.5,0,0,0,97.8
Mandeville,2452095,2.3,2.3,1.7,0.6,0,0,0,97.9
Saint-David,2453005,3.4,3.4,0,2.9,0,0,0,97.1
Massueville,2453010,5.8,5.8,0,1.7,0,0,0,93.3
Saint-Aimé,2453015,0,0,0,0,0,0,0,100
Saint-Robert,2453020,1.9,1.9,1.9,0,0,0,0,97.8
Sainte-Victoire-de-Sorel,2453025,2,2,1.4,0.4,0,0,0,98
Saint-Ours,2453032,2.1,2.1,0.6,1.5,0,0,0,98.2
Saint-Roch-de-Richelieu,2453040,2.3,2.3,0,1.6,0,0,0,97.5
Saint-Joseph-de-Sorel,2453050,1.6,1.3,0,0.6,0,0,0,98.4
Sorel-Tracy,2453052,1.4,1.2,0.9,0.3,0.1,0,0.1,98.6
Sainte-Anne-de-Sorel,2453065,0.7,0.7,0,0.7,0,0,0,99.3
Yamaska,2453072,0.6,0.6,0,0,0,0,0,99.7
Saint-Gérard-Majella,2453085,0,0,0,0,0,0,0,100
Saint-Pie,2454008,1.3,1.3,1.2,0,0,0,0,98.8
Saint-Damase,2454017,1.8,1.4,1.4,0,0,0,0,98.4
Sainte-Madeleine,2454025,2.2,0.9,0,0.4,0,0,1.3,98
Sainte-Marie-Madeleine,2454030,4.2,4.2,2.3,1.9,0,0,0,95.8
La Présentation,2454035,0.4,0.4,0,0,0,0,0,99.4
Saint-Hyacinthe,2454048,1.3,1.2,0.8,0.3,0,0,0.1,98.7
Saint-Dominique,2454060,1.3,1.3,0,1.1,0,0,0,98.7
Saint-Valérien-de-Milton,2454065,0.6,0.6,0.6,0,0,0,0,99.1
Saint-Liboire,2454072,1.2,1.2,0.7,0,0,0,0,98.8
Saint-Simon,2454090,0,0,0,0,0,0,0,98.9
Sainte-Hélène-de-Bagot,2454095,0.9,0.9,0,0,0,0,0,98.8
Saint-Hugues,2454100,1.8,1.1,1.1,0,0,0,0,98.2
Saint-Barnabé-Sud,2454105,0,0,0,0,0,0,0,100
Saint-Jude,2454110,1.1,0.8,0.8,0,0,0,0,98.9
Saint-Bernard-de-Michaudville,2454115,1.6,0,0,0,0,0,0,98.4
Saint-Louis,2454120,1.3,0,0,0,0,0,0,98.7
Saint-Marcel-de-Richelieu,2454125,0,0,0,0,0,0,0,100
Ange-Gardien,2455008,2,1.6,0.5,1.1,0,0,0,97.8
Saint-Paul-d'Abbotsford,2455015,1.4,1.4,1.2,0.3,0,0,0,98.4
Saint-Césaire,2455023,1.4,1.4,0.5,0.7,0,0,0,98.5
Sainte-Angèle-de-Monnoir,2455030,2.2,2.2,1.1,0.8,0,0,0,98.1
Rougemont,2455037,2.2,2.1,1.3,0.7,0,0,0,97.8
Marieville,2455048,2.3,2,1.2,0.8,0,0.2,0.1,97.6
Richelieu,2455057,1.6,1.5,1.2,0.2,0,0,0,98.4
Saint-Mathias-sur-Richelieu,2455065,2,1.5,0.8,0.8,0,0,0.2,98.1
Venise-en-Québec,2456005,2.1,1.6,1.3,0.5,0,0,0,97.9
Saint-Georges-de-Clarenceville,2456010,0,0,0,0,0,0,0,100
Noyan,2456015,0,0,0,0,0,0,0,100
Lacolle,2456023,2.2,2.2,1.1,0.9,0,0,0,98.1
Saint-Valentin,2456030,0,0,0,0,0,0,0,100
Saint-Paul-de-l'Île-aux-Noix,2456035,1.6,1.6,0,1.4,0,0,0,98.1
Henryville,2456042,2.4,2.4,1.7,0,0,0,0,97.3
Saint-Sébastien,2456050,0,0,0,0,0,0,0,99.3
