CSDNAME,CSDUID,Aggregate after-tax income of households
Egan-Sud,2483075,16400000
Elbow,4711019,16000000
Elcapo No. 154,4705028,13400000
Eldon,1314016,17200000
Eldon No. 471,4717017,28800000
Elfros No. 307,4710041,10600000
Elgin,1306008,28200000
Elgin,2469050,12400000
Elizabethtown-Kitley,3507014,347000000
Elk Point,4812016,46800000
Elkford,5901003,119600000
Ellice-Archie,4615047,24400000
Elliot Lake,3557041,340000000
Elliston,1007020,9800000
Elnora,4808002,10200000
Elrose,4708094,15800000
Elton,4607071,44400000
Embree,1008043,17600000
Emerald No. 277,4710031,14400000
Emerson-Franklin,4602024,58400000
Emo,3559019,41600000
Enderby,5937033,89200000
Enderby 2,5937802,10000000
Enfield No. 194,4707053,9600000
Englee,1009004,11000000
Englefeld,4715002,10800000
Englehart,3554052,47400000
English River 21,3560058,9600000
Enniskillen,3538016,97200000
Enniskillen No. 3,4701011,16000000
Enoch Cree Nation,4811804,46000000
Entrelacs,2462053,40000000
Erin,3523017,504000000
Ermineskin 138,4811801,43600000
Escuminac,2406025,16800000
Esgenoôpetitj 14,1309044,31600000
Eskasoni 3,1217020,65600000
Espanola,3552026,179200000
Esprit-Saint,2410005,9200000
Esquimalt,5917040,662000000
Essa,3543021,806000000
Essex,3537016,744000000
Essipit,2495802,11200000
Esterhazy,4705052,94000000
Estevan,4701024,422000000
Estevan No. 5,4701022,56800000
Eston,4708076,31400000
Ethelbert,4617064,14400000
Evanturel,3554049,19200000
Excel No. 71,4703029,7800000
Excelsior No. 166,4707021,17200000
Eye Hill No. 382,4713049,23600000
Factory Island 1,3556094,37200000
Fairford 50,4618067,20000000
Fairview,4819068,96000000
Fairview No. 136,4819066,55600000
Falher,4819046,29600000
Faraday,3512058,52000000
Farnham,2446112,296000000
Faro,6001004,16400000
Fassett,2480005,14000000
Fauquier-Strickland,3556052,15000000
Ferland-et-Boilleau,2494220,18800000
Ferme-Neuve,2479097,76400000
Fermont,2497035,124800000
Fernie,5901012,260500000
Ferryland,1001149,12800000
Fertile Belt No. 183,4705051,25600000
Fertile Valley No. 285,4712020,15400000
Fillmore,4702078,9600000
Fish Creek No. 402,4715036,9600000
Fisher,4618068,37800000
Fisher River 44,4619056,30800000
Fisher's Grant 24,1212019,12400000
Fishing Lake 89,4710826,8000000
Flagstaff County,4807031,118200000
Flatrock,1001507,68800000
Flett's Springs No. 429,4715051,24400000
Flin Flon (Part),4621064,182000000
Florenceville-Bristol,1311027,62000000
Flying Dust First Nation 105,4717805,16800000
Foam Lake,4710038,32400000
Foam Lake No. 276,4710036,14600000
Fogo Island,1008099,62800000
Fond du Lac 227,4718824,18000000
Foothills County,4806001,1288000000
Foremost,4801009,19200000
Forestburg,4807036,27600000
Forestville,2495045,90600000
Fort Albany (Part) 67,3556093,19600000
Fort Alexander 3,4619050,37600000
Fort Erie,3526003,1108000000
Fort Frances,3559012,267500000
Fort Good Hope,6102009,17600000
Fort Hope 64,3560053,15000000
Fort Liard,6104009,12200000
Fort Macleod,4803019,98000000
Fort Mckay 174,4816810,22400000
Fort McPherson,6101015,20000000
Fort Nelson 2,5959806,12400000
Fort Providence,6104014,23200000
Fort Qu'Appelle,4706051,59600000
Fort Resolution,6105018,13600000
Fort Saskatchewan,4811056,1096000000
Fort Severn 89,3560078,5800000
Fort Simpson,6104038,49200000
Fort Smith,6105001,102000000
Fort St. James,5951013,53600000
Fort St. John,5955034,840000000
Fort William 52,3558003,23400000
Fort-Coulonge,2484060,36000000
Forteau,1010005,14400000
Fortierville,2438047,18400000
Fortune,1002018,35600000
Forty Mile County No. 8,4801008,74000000
Fossambault-sur-le-Lac,2422010,97200000
Fox Cove-Mortier,1002025,8000000
Fox Creek,4818002,71600000
Fox Lake 162,4817835,25600000
Fox Valley,4708026,8000000
Frampton,2426005,43200000
Francis No. 127,4706004,24800000
Franklin,2469010,49600000
Franquelin,2496015,11400000
Fraser Lake,5951009,35600000
Fraser Valley A,5909014,13000000
Fraser Valley B,5909016,27000000
Fraser Valley C,5909048,40800000
Fraser Valley D,5909034,72800000
Fraser Valley E,5909036,51200000
Fraser Valley F,5909060,44000000
Fraser Valley G,5909062,53400000
Fraser Valley H,5909035,95600000
Fraser-Fort George A,5953038,137200000
Fraser-Fort George C,5953042,157600000
Fraser-Fort George D,5953044,167200000
Fraser-Fort George E,5953046,17200000
Fraser-Fort George F,5953048,46800000
Fraser-Fort George H,5953019,49000000
Fredericton,1310032,2168000000
Fredericton Junction,1303006,19200000
Frelighsburg,2446010,42000000
French River,3552001,99200000
Frenchman Butte No. 501,4717032,36000000
Front of Yonge,3507017,89600000
Frontenac,2430025,59400000
Frontenac Islands,3510005,108000000
Frontier,4704012,11200000
Fruitvale,5905005,74000000
Fugèreville,2485055,12000000
Gagetown,1304004,10800000
Gagetown,1304005,22200000
Gallichan,2487020,18000000
Gambo,1007047,48800000
Gamètì,6103049,8800000
Gananoque,3507024,181600000
Gander,1006009,410000000
Garden Hill First Nation,4622048,40400000
Garden River 14,3557074,27400000
Garden River No. 490,4715079,24800000
Garnish,1002021,17200000
Garry No. 245,4709019,10600000
Gaspé,2403005,484000000
Gatineau,2481017,10100000000
Georgian Bay,3544065,155200000
Georgian Bluffs,3542053,431000000
Georgina,3519070,1688000000
Gesgapegiag,2406802,17600000
Gibbons,4811064,123600000
Gibsons,5929005,174800000
Gilbert Plains,4617054,40800000
Gillam,4623022,42800000
Gillams,1005015,16400000
Gillies,3558012,14200000
Gimli,4618031,218800000
Girardville,2492055,30400000
Gitanmaax 1,5949812,14400000
Gitanyow 1,5949815,8400000
Gitsegukla 1,5949814,9200000
Gitwangak 1,5949816,9600000
Gjoa Haven,6208081,31200000
Gladstone,1303004,13400000
Glaslyn,4717048,10400000
Glenboro-South Cypress,4607039,31400000
Glendon,4812012,11600000
Glenelg,1309004,44200000
Glenella-Lansdowne,4608055,24200000
Glenwood,1006012,20800000
Glenwood,4803006,6600000
Glovertown,1007044,60200000
Godbout,2496010,9200000
Goderich,3540028,279000000
Godmanchester,2469060,37600000
God's Lake 23,4622049,22800000
God's River 86A,4622055,10800000
Gold River,5924025,42000000
Golden,5939007,143200000
Golden West No. 95,4701069,10800000
Good Lake No. 274,4709029,34400000
Gordon,1312008,48800000
Gordon 86,4710823,12200000
Gordon/Barrie Island,3551027,17200000
Gore,2476025,83200000
Gore Bay,3551026,28400000
Gracefield,2483032,70800000
Grahamdale,4618060,33200000
Granby,2447017,2108000000
Grand Bank,1002019,62200000
Grand Bay-Westfield,1305015,180400000
Grand Coulee,4706028,21200000
Grand Falls,1312016,28800000
Grand Falls,1312019,160000000
Grand Falls-Windsor,1006017,432000000
Grand Forks,5905032,121600000
Grand Manan,1302052,88400000
Grand Rapids 33,4621027,16400000
Grand Valley,3522010,128400000
Grande Prairie,4819012,2360000000
Grande Prairie County No. 1,4819006,962000000
Grande-Anse,1315038,20800000
Grande-Rivière,2402015,102400000
Grandes-Piles,2435040,18400000
Grande-Vallée,2403020,34000000
Grandmother's Bay 219,4718831,5800000
Grand-Remous,2483095,32800000
Grand-Saint-Esprit,2450065,15600000
Grandview,4617058,39400000
Granisle,5951032,10600000
Grant No. 372,4715014,17600000
Grass Lake No. 381,4713056,13600000
Grassland,4605062,37600000
Grassy Creek No. 78,4704034,11600000
Gravelbourg,4703071,31800000
Gravelbourg No. 104,4703068,8800000
Gravenhurst,3544002,449000000
Grayson No. 184,4705057,20000000
Great Bend No. 405,4716008,9600000
Greater Madawaska,3547008,107800000
Greater Napanee,3511015,530000000
Greater Sudbury,3553005,6190000000
Green Lake,4718021,15600000
Greenmount-Montrose,1103055,9200000
Greenspond,1007054,8000000
Greenstone,3558075,149600000
Greenview No. 16,4818015,305000000
Greenwich,1305038,31800000
Greenwood,5905042,19200000
Grenfell,4705029,30600000
Grenville,2476055,53400000
Grenville-sur-la-Rouge,2476052,90200000
Grey,4609018,60800000
Grey Highlands,3542015,362000000
Griffin No. 66,4702042,14000000
Grimsby,3526065,1162000000
Grimshaw,4819074,87600000
Gros-Mécatina,2498014,13600000
Grosse-Île,2401042,22400000
Grosses-Roches,2408015,9800000
Guelph,3523008,5260000000
Guelph/Eramosa,3523009,582000000
Guérin,2485095,12000000
Gull Lake,4708011,30600000
Guysborough,1213004,129200000
Hafford,4716022,10600000
Hague,4715034,28400000
Haines Junction,6001018,26800000
Haldimand County,3528018,1668000000
Halifax,1209034,15280000000
Hall Beach,6204011,18800000
Halton Hills,3524015,2620000000
Hamilton,3514019,449000000
Hamilton,3525005,20520000000
Hamiota,4615037,36800000
Hammond,1305001,7400000
Ham-Nord,2439010,22000000
Hampden,1005008,12400000
Hampshire,1102021,9600000
Hampstead,1304006,8800000
Hampstead,2466062,481000000
Hampton,1305006,96800000
Hampton,1305007,150400000
Hanley,4711032,17200000
Hanna,4804011,87600000
Hanover,3542029,251200000
Hanover,4602041,425000000
Hant's Harbour,1001335,11200000
Hanwell,1310017,177200000
Happy Valley-Goose Bay,1010025,298500000
Happyland No. 231,4708056,10000000
Harbour Breton,1003008,42800000
Harbour Grace,1001379,81600000
Harbour Main-Chapel's Cove-Lakeview,1001469,36800000
Harcourt,1308010,6400000
Hardisty,4807048,22000000
Hardwicke,1309001,68000000
Hare Bay,1007049,21600000
Harley,3554026,16800000
Harrington,2476065,29000000
Harris,3554014,24000000
Harrison Hot Springs,5909027,69600000
Harrison Park,4615070,62800000
Hartland,1311012,26600000
Harvey,1306004,12800000
Harvey,1310005,12600000
Hastings Highlands,3512076,147200000
Hatley,2445043,35000000
Hatley,2445055,83600000
Haut-Madawaska,1313031,105400000
Havelock,1305028,29600000
Havelock,2469005,21800000
Havelock-Belmont-Methuen,3515030,162400000
Havre-Saint-Pierre,2498040,122800000
Hawkesbury,3502008,301000000
Hay Lake 209,4817845,18800000
Hay Lakes,4810014,12800000
Hay River,6105016,154000000
Hay River Dene 1,6104017,7200000
Hazel Dell No. 335,4709060,12400000
Headingley,4611042,175200000
Hearst,3556076,180400000
Heart's Content,1001325,8600000
Heart's Delight-Islington,1001312,18800000
Hébertville,2493020,78400000
Hébertville-Station,2493025,36400000
Hemmingford,2468010,22600000
Hemmingford,2468015,60400000
Henryville,2456042,41600000
Hepburn,4715027,24800000
Herbert,4707026,15400000
Hermitage-Sandyville,1003011,12800000
Hérouxville,2435035,40400000
Hiawatha First Nation,3515008,10000000
High Level,4817093,126800000
High Prairie,4817021,83600000
High River,4806006,485000000
Highlands,5917049,110400000
Highlands East,3546005,123600000
Hillsborough,1306011,43200000
Hillsborough,1306025,35200000
Hillsburg-Roblin-Shell River,4616048,85600000
Hillsdale No. 440,4713092,10000000
Hilton,3557004,12000000
Hinchinbrooke,2469045,62400000
Hines Creek,4817064,9600000
Hinton,4814019,382000000
Holachten 8,5909879,8000000
Holden,4810021,8400000
Hole or Hollow Water 10,4619053,11400000
Holyrood,1001472,83200000
Honfleur,2419070,25400000
Hoodoo No. 401,4715039,25200000
Hope,2405025,18400000
Hope,5909009,210000000
Hope Town,2405020,9200000
Hopedale,1011030,13800000
Hopewell,1306001,17600000
Hornepayne,3557096,39600000
Horse Lakes 152B,4819815,10400000
Horton,3547046,112400000
Houston,5951034,105600000
Howick,2469025,23200000
Howick,3540046,107800000
Huberdeau,2478065,26600000
Hudson,2471100,234000000
Hudson,3554021,16800000
Hudson Bay,4714004,47000000
Hudson Bay No. 394,4714001,38400000
Hudson's Hope,5955025,30400000
Humber Arm South,1005020,45200000
Humboldt,4715008,202800000
Humboldt No. 370,4715007,32800000
Hunter River,1102043,10800000
Huntingdon,2469055,62200000
Huntsville,3544042,748000000
Huron East,3540040,299500000
Huron Shores,3557035,59600000
Huron-Kinloss,3541015,273500000
Hythe,4819008,22800000
Ibex Valley,6001055,22800000
Igloolik,6204012,38800000
Ignace,3560001,41600000
Île-à-la-Crosse,4718067,36000000
Imperial,4711008,11600000
Improvement District No. 24 Wood Buffalo,4816051,9200000
Indian Brook 14,1208014,71600000
Indian Head,4706039,66400000
Indian Head No. 156,4706038,10800000
Ingersoll,3532018,466000000
Inkerman,1315024,66400000
Innisfail,4808008,269000000
Innisfil,3543017,1532000000
Insinger No. 275,4709023,9600000
Inukjuak,2499085,40800000
Inuvik,6101017,141000000
Invergordon No. 430,4715054,15800000
Invermere,5901039,139200000
Inverness,2432058,25600000
"Inverness, Subd. A",1215011,157200000
"Inverness, Subd. B",1215006,147200000
"Inverness, Subd. C",1215001,102200000
Iqaluit,6204003,400000000
Irishtown-Summerside,1005030,33600000
Irlande,2431040,25400000
Irma,4807056,17200000
Iroquois Falls,3556031,148800000
Irricana,4806022,40400000
Iskut 6,5949832,5800000
Isle aux Morts,1003032,14200000
Ittatsoo 1,5923807,6200000
Ituna,4710004,19000000
Ituna Bon Accord No. 246,4710003,10400000
Ivry-sur-le-Lac,2478042,18400000
Ivujivik,2499140,8800000
Jackhead 43,4619061,5600000
Jackson's Arm,1005005,9600000
James,3554042,12600000
James Smith 100,4715849,12800000
Janvier 194,4816817,8000000
Jasper,4815033,157600000
Jocelyn,3557001,12400000
John D'Or Prairie 215,4817837,22400000
Johnson,3557016,17600000
Johnston,1304014,20600000
Johnstons River,1102015,10400000
Joliette,2461025,616000000
Juan de Fuca (Part 1),5917054,194400000
Kahkewistahaw 72,4705804,11200000
Kamloops,5933042,3560000000
Kamloops 1,5933880,171200000
Kamouraska,2414050,18000000
Kamsack,4709039,52200000
Kangiqsualujjuaq,2499090,22400000
Kangiqsujuaq,2499130,23200000
Kangirsuk,2499110,15000000
Kapuskasing,3556066,279000000
Kars,1305036,10000000
Kasabonika Lake,3560096,16400000
Kaslo,5903023,29400000
Katepwa,4706050,26000000
Kawartha Lakes,3516010,2760000000
Kawawachikamach,2497806,18800000
Kazabazua,2483015,28000000
Kearney,3549018,32400000
Kebaowek,2485802,10400000
Kedgwick,1314020,57200000
Keeseekoose 66,4709820,8000000
Keeseekoowenin 61,4615067,8400000
Kee-Way-Win,3560104,7000000
Kehewin 123,4812811,20800000
Kellross No. 247,4710008,11000000
Kelowna,5935010,5520000000
Kelsey,4621052,80800000
Kelvington,4714022,26200000
Kelvington No. 366,4714021,11600000
Kenaston,4711036,9600000
Kenora,3560010,560000000
Kenora 38B,3560066,8400000
"Kenora, Unorganized",3560090,281500000
Kensington,1103014,54800000
"Kensington, Part 1",1103067,101600000
"Kensington, Part 2",1102066,19200000
Kent,1311028,56400000
Kent,5909032,189200000
Kentville,1207012,203600000
Keremeos,5907009,47000000
Kerns,3554024,10400000
Kerrobert,4713042,36000000
Kettle Point 44,3538056,31600000
Keys No. 303,4709046,13000000
Kiamika,2479025,23000000
"Killaloe, Hagarty and Richards",3547033,76400000
Killam,4807042,36000000
Killarney,3552036,13600000
Killarney - Turtle Mountain,4605025,97800000
Kimberley,5901028,288500000
Kimmirut,6204005,10400000
Kimosom Pwatinahk 203,4718852,12000000
Kincardine,3541024,525000000
Kindersley,4713008,156800000
Kindersley No. 290,4713006,32000000
King,3519049,1308000000
Kingfisher Lake 1,3560098,10400000
King's Point,1008069,20800000
"Kings, Subd. A",1207001,654000000
"Kings, Subd. B",1207016,354000000
"Kings, Subd. C",1207011,251600000
"Kings, Subd. D",1207021,164800000
Kingsclear,1310018,105600000
Kingsclear 6,1310019,11000000
Kingsey Falls,2439097,77200000
Kingsley No. 124,4705014,12400000
Kingston,1102022,39200000
Kingston,1305014,103000000
Kingston,3510010,4810000000
Kingsville,3537013,762000000
Kinistin 91,4714842,4400000
Kinistino,4715074,18800000
Kinistino No. 459,4715071,22000000
Kinkora,1103003,46400000
Kinkora,1103008,11600000
Kinnear's Mills,2431105,12000000
Kipawa,2485010,13200000
Kipling,4705016,42400000
Kippens,1004020,63800000
Kirkland,2466102,804000000
Kirkland Lake,3554068,259500000
Kispiox 1,5949813,12800000
Kitamaat 2,5949803,14000000
Kitchener,3530013,8760000000
Kitchenuhmaykoosib Aaki 84,3560075,17600000
Kitcisakik,2489802,4800000
Kitigan Zibi,2483802,34000000
Kitimat,5949005,363000000
Kitimat-Stikine B,5949028,43200000
Kitimat-Stikine C (Part 1),5949013,120000000
Kitimat-Stikine E,5949018,140400000
Kitsakie 156B,4718812,10000000
Kitscoty,4810041,31200000
Kitselas 1,5949844,6800000
Kitsumkaylum 1,5949804,9200000
Kneehill County,4805041,152800000
Kootenay Boundary A,5905026,63200000
Kootenay Boundary B / Lower Columbia-Old-Glory,5905030,56400000
Kootenay Boundary C / Christina Lake,5905050,59800000
Kootenay Boundary D / Rural Grand Forks,5905052,105600000
Kootenay Boundary E / West Boundary,5905054,86000000
Kugaaruk,6208047,22000000
Kugluktuk,6208059,37600000
Kuujjuaq,2499095,102000000
Kuujjuarapik,2499075,18400000
Kwawkwawapilt 6,5909821,9000000
Kyle,4708044,12800000
La Bostonnais,2490017,19600000
La Broquerie,4602053,164000000
La Conception,2478115,53000000
La Corne,2488030,30600000
La Doré,2491050,38800000
La Durantaye,2419090,25000000
La Guadeloupe,2429030,48600000
La Loche,4718074,59200000
La Macaza,2479047,28200000
La Malbaie,2415013,250000000
La Minerve,2478130,49600000
La Motte,2488045,13600000
La Patrie,2441027,19200000
La Pêche,2482035,296000000
La Pocatière,2414085,118400000
La Prairie,2467015,992000000
La Présentation,2454035,90400000
La Rédemption,2409005,9600000
La Reine,2487080,9200000
La Ronge,4718041,84800000
La Sarre,2487090,229200000
La Tuque,2490012,346000000
La Vallee,3559016,29400000
La Visitation-de-l'Île-Dupas,2452050,22800000
La Visitation-de-Yamaska,2450085,8000000
Labelle,2478120,86600000
Labrador City,1010032,365000000
Labrecque,2493055,42800000
Lac Baker,1313037,24800000
Lac Brochet 197A,4623067,12000000
Lac du Bonnet,4601057,113600000
Lac du Bonnet,4601060,42000000
Lac la Biche County,4812037,276000000
Lac La Hache 220,4718832,18800000
Lac La Ronge 156,4718809,26400000
Lac Pelletier No. 107,4704061,17600000
Lac Seul 28,3560056,19200000
Lac Simon,2489804,22200000
Lac Ste. Anne County,4813001,371000000
Lacadena No. 228,4708042,21600000
Lac-au-Saumon,2407057,39600000
Lac-aux-Sables,2435010,43400000
Lac-Beauport,2422040,367000000
Lac-Bouchette,2491005,34800000
Lac-Brome,2446075,241200000
Lac-Delage,2422030,26400000
Lac-des-Aigles,2413060,12400000
Lac-des-Écorces,2479078,83800000
Lac-des-Plages,2480130,12200000
Lac-Drolet,2430080,31600000
Lac-du-Cerf,2479015,14000000
Lac-Etchemin,2428053,112600000
Lachute,2476020,395000000
Lac-Mégantic,2430030,166000000
Lacolle,2456023,82000000
Lacombe,4808031,450000000
Lacombe County,4808022,358000000
Lac-Saguay,2479060,15800000
Lac-Sainte-Marie,2483020,27000000
Lac-Saint-Joseph,2422015,20000000
Lac-Saint-Paul,2479105,14600000
Lac-Sergent,2434120,25200000
Lac-Simon,2480095,38400000
Lac-Supérieur,2478095,65200000
Ladysmith,5919021,317000000
Lafleche,4703044,11800000
Laforce,2485070,6600000
Laird,3557011,42800000
Laird,4715029,7400000
Laird No. 404,4715026,39200000
Lajord No. 128,4706011,34000000
Lake Alma No. 8,4702011,7200000
Lake Country,5935016,636000000
Lake Cowichan,5919016,111000000
Lake Lenore,4715006,8800000
Lake Lenore No. 399,4715048,18000000
Lake of Bays,3544027,158000000
Lake of the Rivers No. 72,4703034,9600000
Lakeland No. 521,4715075,55600000
Lakeshore,3537064,1604000000
Lakeshore,4617075,32800000
Lakeside No. 338,4710061,9200000
Lakeview No. 337,4710066,10800000
Lamarche,2493060,15400000
Lambton,2430095,47200000
Lambton Shores,3538040,430000000
Lamèque,1315032,37600000
Lamont,4810064,54600000
Lamont County,4810058,126400000
Lampman,4701032,20800000
Lanark Highlands,3509039,202000000
L'Ancienne-Lorette,2423057,613000000
Landrienne,2488035,28800000
L'Ange-Gardien,2421040,136800000
L'Ange-Gardien,2482005,221200000
Langenburg,4705048,42000000
Langenburg No. 181,4705047,19600000
Langford,5917044,1740000000
Langham,4711067,45600000
Langley,5915001,5090000000
Langley,5915002,980000000
Langley 2,5909856,10600000
Lanigan,4711049,54000000
Lanoraie,2452017,156800000
L'Anse au Loup,1010002,19600000
L'Anse-Saint-Jean,2494210,40000000
Lantier,2478015,27000000
Lantzville,5921008,152800000
Larder Lake,3554062,26600000
Lark Harbour,1005024,13000000
Larouche,2494265,52200000
LaSalle,3537034,1408000000
L'Ascension,2479050,27400000
L'Ascension-de-Notre-Seigneur,2493065,58000000
LaScie,1008076,25600000
Lashburn,4717024,28400000
L'Assomption,2460028,758000000
Last Mountain Valley No. 250,4711003,10800000
Latchford,3554006,10400000
Latulipe-et-Gaboury,2485060,7600000
Laurentian Hills,3547090,112800000
Laurentian Valley,3547075,348000000
Laurier No. 38,4702029,8400000
Laurier-Station,2433060,76800000
Laurierville,2432072,36000000
Laval,2465005,14320000000
Lavaltrie,2452007,451000000
L'Avenir,2449025,36000000
Laverlochère-Angliers,2485052,30000000
Lawn,1002011,17200000
Lawrenceville,2442045,16400000
Lax Kw'alaams 1,5947809,11800000
Le Goulet,1315030,21800000
Leader,4708058,31200000
Leading Tickles,1008048,10000000
Leaf Rapids,4623034,7200000
Leamington,3537003,898000000
Leask,4716042,9800000
Leask No. 464,4716041,24200000
Lebel-sur-Quévillon,2499005,80800000
Leclercville,2433123,13400000
Leduc,4811016,1258000000
Leduc County,4811012,562000000
Leeds and the Thousand Islands,3507021,358000000
Lefebvre,2449020,24800000
Legal,4811069,40400000
Lemberg,4705066,9600000
Lemieux,2438020,6600000
Lennox Island 1,1103035,10000000
Leoville,4716061,10200000
L'Épiphanie,2460037,271500000
Lepreau,1302008,28000000
Leroy,4710058,16400000
Leroy No. 339,4710056,17600000
Léry,2467055,92800000
Les Bergeronnes,2495018,19600000
Les Cèdres,2471050,242800000
Les Coteaux,2471033,183200000
Les Éboulements,2416048,50000000
Les Escoumins,2495025,56600000
Les Hauteurs,2409015,9600000
Les Îles-de-la-Madeleine,2401023,421000000
Les Méchins,2408005,27000000
Lesser Slave River No. 124,4817033,112400000
Lethbridge,4802012,3410000000
Lethbridge County,4802011,296500000
Lévis,2425213,5400000000
Lewin's Cove,1002002,20800000
Lewisporte,1008044,91600000
L'Île-du-Grand-Calumet,2484035,19800000
L'Île-Perrot,2471060,372000000
Lillooet,5931026,82000000
Lillooet 1,5931821,7600000
Limerick,3512051,14600000
Lincoln,1303008,249600000
Lincoln,3526057,956000000
Linden,4805046,20800000
Lingwick,2441085,12000000
Linkletter,1103023,10000000
Lions Bay,5915065,76000000
Lipton,4706098,9600000
Lipton No. 217,4706096,11200000
L'Isle-aux-Allumettes,2484082,42000000
L'Isle-aux-Coudres,2416023,36400000
L'Islet,2417078,108600000
L'Isle-Verte,2412043,38800000
Litchfield,2484040,18800000
Little Buffalo,4817853,9200000
Little Pine 116,4713836,9400000
Little Red River 106C,4715851,6600000
Little Saskatchewan 48,4618063,11200000
Livingston No. 331,4709075,10400000
Lloydminster (Part),4717029,367000000
Lloydminster (Part),4810039,742000000
Lochaber,2480055,10800000
Lochaber-Partie-Ouest,2480060,29200000
Lockeport,1201009,12400000
Logan Lake,5933035,80000000
Logy Bay-Middle Cove-Outer Cove,1001511,109200000
Lomond No. 37,4702033,9600000
London,3539036,14120000000
Long Lake 58,3558068,6800000
Long Plain 6,4609025,21600000
Longlaketon No. 219,4706070,42400000
Longue-Pointe-de-Mingan,2498045,15600000
Longue-Rive,2495032,26200000
Longueuil,2458227,8200000000
Longview,4806008,10400000
Loon Lake,4717058,6400000
Loon Lake 235,4817860,11200000
Loon Lake No. 561,4717056,24800000
Loreburn No. 254,4711018,12000000
Lorne,1312011,9200000
Lorne,4604064,83200000
Lorraine,2473025,422000000
Lorrainville,2485037,39600000
Lot 11 and Area,1103039,14400000
Lotbinière,2433115,31600000
Louis Bull 138B,4811803,20800000
Louise,4604040,47800000
Louiseville,2451015,198800000
Lourdes,1004037,11800000
Low,2483010,32400000
Loyalist,3511005,636000000
Lucan Biddulph,3539060,199600000
Lumby,5937005,64400000
Lumsden,1008004,15800000
Lumsden,4706056,74400000
Lumsden No. 189,4706053,90400000
Lunenburg,1206001,782000000
Lunenburg,1206006,75200000
Luseland,4713044,20800000
Lutselk'e,6105020,13600000
Lynn Lake,4623047,14600000
Lyster,2432065,41400000
Macamic,2487058,82400000
Macdonald,4610035,327000000
"Macdonald, Meredith and Aberdeen Additional",3557051,56000000
Machar,3549054,34800000
Machin,3560021,38400000
Mackenzie,5953033,131200000
Mackenzie County,4817095,330000000
Macklin,4713051,39600000
Macoun,4702041,7600000
Macpherson-Grizzly Valley,6001059,70000000
Madawaska Valley,3547030,116600000
Maddington Falls,2439165,12600000
Madoc,3512036,69600000
Magnetawan,3549043,54800000
Magog,2445072,924000000
Magrath,4803002,71600000
Mahone Bay,1206008,34000000
Maidstone,4717018,35600000
Maisonnette,1315040,13800000
Makaoo (Part) 120,4717802,9600000
Makkovik,1011020,11200000
Makwa Lake 129B,4717807,17600000
Malahide,3534010,282000000
Malartic,2489015,106800000
Maliotenam,2497804,42400000
Malpeque Bay,1103007,38000000
Mandeville,2452095,70400000
Manitou Beach,4711054,11400000
Manitou Lake No. 442,4713079,20800000
Manitou Rapids 11,3559026,6200000
Manitouwadge,3558066,72000000
Maniwaki,2483065,102200000
Manners Sutton,1310004,61800000
Manning,4817078,39600000
Mannville,4810034,26600000
Manor,4701054,10000000
Manseau,2438028,19200000
Mansfield-et-Pontefract,2484065,68000000
Maple Creek,4704048,70000000
Maple Creek No. 111,4704045,21600000
Maple Ridge,5915075,3350000000
Mapleton,3523033,336000000
Marathon,3558059,127800000
Maria,2406005,88000000
Maricourt,2442065,13800000
Marieville,2455048,351000000
Markham,3519036,11840000000
Markstay-Warren,3552013,90000000
Marktosis 15,5923808,14000000
Marmora and Lake,3512046,124400000
Marquis No. 191,4707042,15600000
Marriott No. 317,4712034,10400000
Marsden,4713091,7800000
Marsh Lake,6001058,34400000
Marshall,4717026,14200000
Marsoui,2404025,7800000
Marston,2430035,23800000
Martensville,4711070,375000000
Martinville,2444060,12200000
Marwayne,4810044,18800000
Maryfield,4701096,9200000
Maryfield No. 91,4701094,7800000
Mary's Harbour,1010011,10400000
Marystown,1002024,148000000
Mascouche,2464015,1728000000
Mashteuiatsh,2491802,72400000
Maskinongé,2451008,63800000
Masset,5947023,28600000
Masset 1,5947803,10800000
Massey Drive,1005017,60800000
Massueville,2453010,15600000
Matagami,2499015,51200000
Matane,2408053,429000000
Matapédia,2406045,16400000
Matimekosh,2497808,18400000
Matsqui 4,5915825,14200000
Mattawa,3548021,52000000
Mattice-Val Côté,3556077,17600000
Maugerville,1303016,56000000
Mayerthorpe,4813002,37200000
Mayfield No. 406,4716005,13600000
Mayo,2480065,27200000
McAdam,1310006,30800000
McBride,5953012,17200000
McCraney No. 282,4711034,8000000
McCreary,4617035,21200000
McDougall,3549031,108400000
McGarry,3554058,18000000
M'Chigeeng 22,3551045,25600000
McIvers,1005022,15200000
McKellar,3549028,51200000
McKillop No. 220,4706071,38800000
McLean,4706037,11200000
McLennan,4819042,21600000
McLeod No. 185,4705063,10800000
McMasterville,2457025,191600000
McMurrich/Monteith,3549012,26200000
McNab/Braeside,3547003,297000000
Meadow Lake,4717052,168000000
Meadow Lake No. 588,4717054,90000000
Meadows,1005025,14600000
Meaford,3542047,424000000
Medicine Hat,4801006,2196000000
Medstead No. 497,4716062,16800000
Meeting Lake No. 466,4716038,8400000
Melancthon,3522019,103600000
Melbourne,2442075,34800000
Melfort,4714051,195600000
Melita,4605052,32000000
Melville,4705074,153200000
Membertou 28B,1217008,25400000
Memramcook,1307013,162400000
Meota,4717006,13600000
Meota No. 468,4717001,44400000
Mercier,2467045,497000000
Merrickville-Wolford,3507052,112000000
Merritt,5933006,221600000
