CSDNAME,CSDUID,"Population, 2021","Population percentage change, 2016 to 2021 (%)",Total private dwellings,Private dwellings occupied by usual residents,Land Area (sq km),Population Density (sq km)
Hines Creek,4817064,335,-3.2,184,149,4.88,68.7
Clear Hills,4817062,3006,-0.4,1107,930,15025.54,0.2
Nampa,4817039,367,0.8,189,168,1.69,217.5
Lesser Slave River No. 124,4817033,2861,2.1,1500,1169,10041.79,0.3
Opportunity No. 17,4817031,3382,4,1524,1079,28857.88,0.1
Slave Lake,4817029,6836,2.8,2681,2405,14.31,477.7
Big Lakes County,4817027,4986,-11.4,2632,2007,13827.58,0.4
Northern Sunrise County,4817026,1711,-10.9,765,658,20915.18,0.1
Swan Hills,4817024,1201,-7.7,728,512,25.87,46.4
High Prairie,4817021,2380,-7.2,1119,941,7.01,339.5
Thabacha Náre 196A,4816861,,,,,2.46,
Thebathi 196,4816860,,,,,61.33,
Dog Head 218,4816852,85,-14.1,50,38,0.38,222
Allison Bay 219,4816850,113,-11,40,36,17.09,6.6
Old Fort 217,4816849,0,,0,0,13.87,0
Gregoire Lake 176A,4816822,129,-0.8,53,51,0.81,159.4
Gregoire Lake 176,4816821,203,6.3,90,82,22.67,9
Janvier 194,4816817,360,-12,148,122,26.05,13.8
Fort Mckay 174,4816810,621,-16.9,268,216,30.01,20.7
Improvement District No. 24 Wood Buffalo,4816051,706,9,133,113,33053.78,0
Wood Buffalo,4816037,72326,1,30451,25934,60843.88,1.2
