CSDNAME,CSDUID,"Population, 2021","Population percentage change, 2016 to 2021 (%)",Total private dwellings,Private dwellings occupied by usual residents,Land Area (sq km),Population Density (sq km)
South Baptiste,4813055,70,6.1,76,33,0.91,77
Bondiss,4813053,124,12.7,177,70,1.18,105.5
Island Lake South,4813051,81,32.8,85,42,0.48,170
Island Lake,4813049,174,-23.7,219,80,1.55,112.4
Athabasca,4813048,2759,-6.9,1325,1155,17.79,155.1
Sunset Beach,4813047,55,12.2,92,29,0.87,63.5
Boyle,4813046,825,-2.4,433,368,7.12,115.9
Mewatha Beach,4813045,103,14.4,177,57,0.79,129.8
Athabasca County,4813044,6959,-11.6,3746,2832,6111.3,1.1
Thorhild County,4813036,3042,-6.5,1852,1339,1997.17,1.5
Larkspur,4813033,53,20.5,78,25,0.26,206.4
Clyde,4813032,415,-3.5,197,178,1.28,324.9
Westlock,4813031,4921,-3.5,2385,2151,13.37,368
Whitecourt,4813030,9927,-2.8,4341,3876,29.51,336.4
Woodlands County,4813029,4558,-3.9,1991,1739,7599.52,0.6
Westlock County,4813028,7186,-0.5,3134,2680,3169.66,2.3
Barrhead,4813019,4320,-5.7,1983,1833,8.2,527.1
Barrhead County No. 11,4813018,5877,-6.5,2677,2199,2385.28,2.5
Sunrise Beach,4813017,153,13.3,139,86,1.66,92
Sandy Beach,4813016,278,0,258,139,2.41,115.4
South View,4813015,72,7.5,86,35,0.44,162.4
Onoway,4813014,966,-6.1,388,360,3.31,292.1
Birch Cove,4813013,67,48.9,61,27,0.29,232.2
Alberta Beach,4813012,864,-15.1,743,417,2.02,427.7
Sunset Point,4813011,257,52.1,336,110,1.17,220
Silver Sands,4813010,214,33.8,234,109,2.51,85.2
Castle Island,4813009,15,50,18,9,0.05,278.8
Ross Haven,4813008,126,-21.3,212,60,0.7,179.9
Yellowstone,4813007,117,-14.6,149,58,0.28,424.1
West Cove,4813006,222,49,238,108,1.3,171.2
Val Quentin,4813005,158,-37.3,160,74,0.29,554.2
Nakamun Park,4813003,78,-18.8,151,39,0.43,181.6
Mayerthorpe,4813002,1259,-4.6,572,511,4.39,286.6
Lac Ste. Anne County,4813001,10832,-0.6,5566,4373,2845.84,3.8
Heart Lake 167,4812840,211,14.7,58,55,47.41,4.5
Beaver Lake 131,4812828,401,-3.1,121,109,55.88,7.2
Cold Lake 149B,4812815,181,11,54,53,41.57,4.4
Cold Lake 149A,4812813,68,70,26,24,0.66,103.1
Kehewin 123,4812811,1038,6.4,272,257,79.64,13
Cold Lake 149,4812810,671,0,238,227,139.83,4.8
White Fish Lake 128,4812808,1093,-16.6,327,280,52.11,21
Saddle Lake 125,4812806,,,,,270.29,
Puskiakiwenin 122,4812804,564,6.2,152,142,100.03,5.6
Unipouheos 121,4812802,875,-3.7,250,238,88.55,9.9
Improvement District No. 349,4812038,15,,7,7,5626.57,0
Lac la Biche County,4812037,7673,-7.9,3777,2949,12528.25,0.6
Smoky Lake,4812029,1127,16.9,518,442,4.26,264.4
Waskatenau,4812026,247,32.8,138,118,0.59,421.1
Vilna,4812024,268,-7.6,119,108,0.96,278
Smoky Lake County,4812022,3874,-5.7,1913,1500,3396.29,1.1
Horseshoe Bay,4812020,81,65.3,105,41,0.98,83.1
St. Paul,4812018,5863,0.6,2466,2284,8.64,678.7
Elk Point,4812016,1399,-3.7,683,591,4.91,284.7
St. Paul County No. 19,4812014,6306,4.5,3764,2491,3280.4,1.9
Pelican Narrows,4812013,158,4.6,95,60,0.74,215
Glendon,4812012,338,-31.4,168,136,1.99,169.5
Bonnyville Beach,4812011,70,-16.7,66,32,0.23,298.1
Bonnyville,4812009,6404,7.2,2986,2537,14.17,452.1
Bonnyville No. 87,4812004,12897,1.2,5487,4759,6005.3,2.1
Cold Lake,4812002,15661,4.6,6767,6114,66.61,235.1
Wabamun 133B,4811807,20,-33.3,5,5,1.96,10.2
Wabamun 133A,4811806,981,-38.4,213,207,62.33,15.7
Alexander 134,4811805,1077,-2,297,286,68.39,15.7
Enoch Cree Nation,4811804,1825,8,610,578,51.53,35.4
Louis Bull 138B,4811803,1321,12.2,259,244,31.68,41.7
Pigeon Lake 138A,4811802,285,-33.6,98,85,19.81,14.4
Ermineskin 138,4811801,2256,-8.2,515,489,104.32,21.6
Legal,4811069,1232,-8.4,489,455,3.18,387.9
Morinville,4811068,10385,5.5,3981,3768,11.15,931
Bon Accord,4811066,1461,-4.4,590,555,3.99,366.4
Redwater,4811065,2115,3,1000,910,19.93,106.1
Gibbons,4811064,3218,1.9,1291,1199,9.46,340.1
St. Albert,4811062,68232,4,27019,25938,47.84,1426.4
Edmonton,4811061,1010899,8.3,428857,396404,765.61,1320.4
Sturgeon County,4811059,20061,-2.1,7599,7021,2084.24,9.6
Fort Saskatchewan,4811056,27088,12.1,10896,10420,56.5,479.4
Strathcona County,4811052,99225,1.2,38203,37128,1170.65,84.8
Spruce Grove,4811049,37645,10.4,14752,14273,37.52,1003.3
Stony Plain,4811048,17993,4.7,7475,7134,35.45,507.6
Spring Lake,4811046,711,1.7,308,286,2.28,312.3
Kapasiwin,4811044,24,140,46,16,0.33,73.7
Lakeview,4811042,29,-3.3,35,17,0.32,90.8
Point Alison,4811041,18,80,31,10,0.19,93.7
Betula Beach,4811039,27,68.8,46,14,0.23,118.5
Seba Beach,4811038,229,35.5,333,128,0.53,428.4
Parkland County,4811034,32205,-1.6,13544,11914,2375.67,13.6
Brazeau County,4811032,7179,-7.6,3167,2860,3000.14,2.4
Drayton Valley,4811031,7291,0.8,3250,2897,30.9,236
Breton,4811026,567,-1.2,296,259,1.72,329.9
Warburg,4811024,676,-11.7,325,283,2.56,264.5
Golden Days,4811023,248,55,284,117,2.13,116.7
Itaska Beach,4811022,30,30.4,73,14,0.26,113.4
Thorsby,4811021,967,-1.8,442,405,3.8,254.6
Sundance Beach,4811020,42,-42.5,68,26,0.43,98.3
Calmar,4811019,2183,-2,937,893,4.67,467.6
Devon,4811018,6545,-0.5,2588,2496,14.26,459.1
Leduc,4811016,34094,13.7,13507,12964,42.25,806.9
Beaumont,4811013,20888,19.7,7168,6950,24.7,845.6
Leduc County,4811012,14416,9.4,5990,5295,2502.59,5.8
Millet,4811011,1890,-3.3,839,800,6.62,285.3
Silver Beach,4811009,55,-15.4,99,31,0.61,90.5
Ma-Me-O Beach,4811008,162,47.3,259,73,0.56,288.5
Norris Beach,4811007,71,86.8,92,34,0.19,369.8
Crystal Springs,4811006,74,45.1,130,40,0.45,163.4
Poplar Bay,4811005,113,9.7,182,59,0.71,158.2
Grandview,4811004,143,31.2,203,75,0.45,316.7
Argentia Beach,4811003,39,44.4,101,25,0.62,63.3
Wetaskiwin,4811002,12594,-0.5,5643,5186,18.75,671.6
Wetaskiwin County No. 10,4811001,11212,0.3,5675,4490,3121.98,3.6
Makaoo (Part) 120,4810805,141,-32.2,50,47,35.93,3.9
Improvement District No. 13 Elk Island,4810068,0,,0,0,165,0
Bruderheim,4810066,1329,0.5,552,515,9.28,143.2
Lamont,4810064,1744,-1.7,743,684,9.14,190.9
Chipman,4810062,246,-10.2,143,122,9.6,25.6
Mundare,4810061,689,-19.1,352,301,4.12,167.3
Andrew,4810059,366,-13.9,238,192,1.18,310.1
Lamont County,4810058,3754,-3.3,1829,1538,2385.58,1.6
Two Hills,4810052,1416,4.7,527,445,3.11,454.7
Myrnam,4810051,257,-24.2,161,122,2.75,93.6
Two Hills County No. 21,4810048,3412,-6.3,1590,1148,2600.15,1.3
Marwayne,4810044,543,-3.7,263,231,1.6,339.3
Vermilion,4810042,3948,-3.3,1976,1678,12.72,310.4
Kitscoty,4810041,852,-7.9,335,304,1.51,564.3
Lloydminster (Part),4810039,19739,0.5,8530,7636,23.98,823.1
Paradise Valley,4810038,153,-14.5,75,57,0.63,243.6
Vermilion River County,4810036,7994,-5.4,3320,2996,5420.13,1.5
Mannville,4810034,765,-7.6,397,339,1.64,466.3
Innisfree,4810031,187,-3.1,124,94,1,187.2
Vegreville,4810028,5689,-0.3,2735,2463,14.08,404
Minburn County No. 27,4810026,3014,-5.5,1337,1138,2850.37,1.1
Viking,4810022,986,-9,490,432,3.45,285.9
Holden,4810021,338,-3.4,205,171,1.55,217.7
Ryley,4810019,484,0.2,250,225,2.53,191.6
Tofield,4810018,2045,-1.7,871,807,8.21,249.2
Beaver County,4810016,5868,-0.6,2434,2180,3219.74,1.8
Hay Lakes,4810014,456,-7.9,185,176,0.59,771.6
Bittern Lake,4810012,216,-1.8,84,83,6.57,32.9
Camrose,4810011,18772,0.2,8747,8136,41.67,450.5
Bawlf,4810009,412,-2.4,176,164,0.89,462.9
Edberg,4810006,126,-16.6,67,58,0.35,356.1
Rosalind,4810003,162,-13.8,84,75,0.62,261.1
Bashaw,4810002,848,2.2,415,381,2.72,311.9
Camrose County,4810001,8504,-1.8,3688,3223,3291.75,2.6
Big Horn 144A,4809810,,,,,22.6,
Sunchild 202,4809809,644,-14,186,173,52.5,12.3
O'Chiese 203,4809806,804,1.9,248,226,138.83,5.8
Rocky Mountain House,4809015,6765,2,3075,2693,13.05,518.3
Caroline,4809010,470,-8.2,246,219,2.04,229.9
Burnstick Lake,4809005,21,40,54,10,0.18,116.4
Clearwater County,4809002,11865,-0.7,5605,4817,18605.71,0.6
Montana 139,4808813,598,-5.1,158,145,27.83,21.5
Samson 137A,4808812,19,-26.9,5,5,1.34,14.2
Samson 137,4808811,3252,-3.6,868,777,128.49,25.3
Rimbey,4808044,2470,-3.8,1180,1084,11.38,217.1
Parkland Beach,4808042,168,9.8,232,85,0.94,179.4
Ponoka,4808039,7331,1.4,3340,3086,17.22,425.8
Ponoka County,4808038,9998,2,4255,3689,2807.99,3.6
Alix,4808034,774,5.4,385,343,3.11,248.9
Clive,4808032,775,8.4,321,307,2.17,357.2
Lacombe,4808031,13396,2.6,5552,5194,20.59,650.8
Blackfalds,4808029,10470,12.2,3952,3780,16.58,631.4
Gull Lake,4808028,226,28.4,243,95,0.7,323.3
Sunbreaker Cove,4808027,131,61.7,236,64,0.47,280.8
Bentley,4808026,1042,-3.3,471,451,2.24,464.4
Half Moon Bay,4808025,65,54.8,63,26,0.12,552.7
Eckville,4808024,1014,-9.9,472,425,1.61,629.5
Birchcliff,4808023,211,80.3,229,86,0.97,216.6
Lacombe County,4808022,10283,-0.6,4616,3973,2759.12,3.7
Norglenwold,4808013,306,12.1,204,132,0.62,490.8
Sylvan Lake,4808012,15995,8,7141,6396,23.09,692.8
Red Deer,4808011,100844,0.4,43404,40512,104.34,966.5
Penhold,4808009,3484,6,1396,1325,11.2,311
Innisfail,4808008,7985,1.8,3670,3352,19.39,411.7
Bowden,4808006,1280,3.2,622,584,3.46,370.2
Jarvis Bay,4808005,213,0,141,90,0.55,390.7
Delburne,4808004,919,3,453,400,3.79,242.8
Elnora,4808002,288,-3.4,156,147,1.5,191.4
Red Deer County,4808001,19933,2.1,8674,7430,3919.25,5.1
Irma,4807056,477,-8.4,240,207,1.32,361.7
Wainwright,4807054,6606,5.1,2914,2664,12.17,543
Edgerton,4807052,385,0.3,197,173,2.01,191.3
Chauvin,4807051,304,-9.3,162,143,2.22,136.9
Wainwright No. 61,4807049,4276,-4.2,1852,1490,4095.29,1
Hardisty,4807048,548,-1.1,382,247,4.5,121.7
Lougheed,4807046,225,-12.1,117,95,2,112.5
Sedgewick,4807044,761,-6.2,421,357,2.71,280.7
Killam,4807042,918,-7.2,442,398,6.4,143.5
Daysland,4807039,789,-4.2,356,333,1.77,445.2
Heisler,4807038,135,-15.6,79,68,0.63,214.4
Forestburg,4807036,807,-8.3,417,373,4.04,199.9
Alliance,4807032,166,4.4,100,90,0.62,268.4
Flagstaff County,4807031,3694,-0.9,1558,1378,3959.78,0.9
Donalda,4807029,226,3.2,123,109,0.97,233.6
Rochon Sands,4807028,97,12.8,156,53,2.03,47.7
White Sands,4807027,174,45,304,82,1.61,108.1
Stettler,4807026,5695,-4.3,2574,2384,13.19,431.9
Big Valley,4807021,331,-4.3,186,159,1.86,177.5
Stettler County No. 6,4807019,5666,1.8,2310,1945,3969.65,1.4
Halkirk,4807016,92,-17.9,58,50,0.61,151.9
Castor,4807014,803,-13.6,426,383,2.61,307.9
Coronation,4807012,868,-7.7,485,399,3.57,243.1
Paintearth County No. 18,4807011,1990,-5.3,720,648,3239.58,0.6
Amisk,4807008,219,7.4,105,86,0.76,288
Hughenden,4807006,213,-12.3,112,97,0.78,272.5
Czar,4807004,248,22.8,99,86,1.12,221.2
Provost,4807002,1900,-4.9,862,764,4.75,400.1
Provost No. 52,4807001,2071,-6.1,969,851,3571.12,0.6
Tsuu T'ina Nation 145,4806804,,,,,282.44,
Eden Valley 216,4806803,,,,,17.32,
Sundre,4806036,2672,-2.1,1270,1187,10.84,246.4
Olds,4806034,9209,0.3,4096,3810,14.92,617.3
Didsbury,4806032,5070,-3.8,2157,2047,16.12,314.5
Cremona,4806031,437,-1.6,210,194,1.93,225.9
Carstairs,4806029,4898,20.1,1883,1837,11.77,416.2
Mountain View County,4806028,12981,-0.7,5743,5014,3763.42,3.4
Crossfield,4806026,3599,20.7,1381,1326,11.89,302.7
Beiseker,4806024,754,-7.9,333,314,2.85,264.3
Irricana,4806022,1179,-3,483,467,3.23,364.6
Airdrie,4806021,74100,20.3,27037,26298,84.39,878.1
Cochrane,4806019,32199,24.5,12578,12096,31.58,1019.5
Chestermere,4806017,22163,11.4,6925,6733,32.83,675
Calgary,4806016,1306784,5.5,531062,502301,820.62,1592.4
Rocky View County,4806014,41028,4.1,14714,13905,3828.85,10.7
Okotoks,4806012,30405,4.8,10750,10476,38.55,788.7
Black Diamond,4806011,2730,0.9,1233,1178,6.82,400.4
Turner Valley,4806009,2611,2,1133,1073,5.75,453.7
Longview,4806008,297,-3.3,147,135,1.1,269.6
High River,4806006,14324,5.4,5950,5787,22.19,645.4
Foothills County,4806001,23199,2.6,9075,8450,3604.76,6.4
Siksika 146,4805802,3576,2.8,1210,1051,703.7,5.1
Trochu,4805049,998,-5.7,469,428,2.78,359.5
Three Hills,4805048,3042,-5.3,1242,1168,6.74,451.2
Linden,4805046,704,-15,317,282,2.55,275.9
Acme,4805044,606,-7.2,294,272,2.49,243.7
Carbon,4805042,492,8.4,240,222,1.99,246.8
Kneehill County,4805041,4992,-0.2,1912,1746,3373.4,1.5
Morrin,4805038,205,-14.6,131,113,0.67,305.2
Munson,4805036,170,-11.5,82,74,2.56,66.3
Delia,4805034,152,-29.6,96,76,1.33,114.4
Starland County,4805031,1821,-11.9,679,588,2540.85,0.7
Drumheller,4805026,7909,-0.9,3557,3198,107.56,73.5
Rockyford,4805022,395,25,154,144,1.04,380.7
Standard,4805021,353,0,160,151,2.34,150.9
Hussar,4805019,164,-13.7,85,74,0.7,235.2
Strathmore,4805018,14339,4.2,5754,5517,26.98,531.5
Wheatland County,4805012,8738,-0.6,3108,2842,4505.05,1.9
Arrowwood,4805011,188,-9.2,78,74,0.75,250.8
Milo,4805009,136,49.5,58,51,0.96,141.3
Lomond,4805008,178,7.2,98,77,1.19,149.3
Vulcan,4805006,1769,-7.7,876,806,6.28,281.8
Champion,4805004,351,10.7,192,164,0.88,400.7
Carmangay,4805002,269,11.2,147,127,1.8,149.6
Vulcan County,4805001,4237,6.4,1640,1206,5356.65,0.8
Consort,4804022,644,-11.7,300,262,3.02,213
Veteran,4804021,214,3.4,130,100,0.84,255.6
Special Area No. 4,4804020,1236,-0.1,489,421,4299.8,0.3
Youngstown,4804019,171,11,95,77,1.11,154.7
Oyen,4804014,917,-8.4,404,352,5.15,178.1
Special Area No. 3,4804012,1142,-1,527,439,6469.33,0.2
Hanna,4804011,2394,-6.4,1257,1100,8.4,285.1
Empress,4804006,148,9.6,112,69,1.58,93.5
Special Area No. 2,4804004,1860,-2.4,783,644,9195.06,0.2
Acadia No. 34,4804001,494,0.2,196,159,1070.92,0.5
"Peigan Timber Limit B""""",4803805,16,,4,4,30.11,0.5
Blood 148A,4803803,0,,0,0,17.83,0
Blood 148,4803802,4572,0,1421,1170,1403.35,3.3
Piikani 147,4803801,1550,0.4,583,478,424.09,3.7
Nanton,4803026,2167,-0.6,1004,953,5.11,423.9
Stavely,4803024,544,0.6,287,269,1.78,305.3
Claresholm,4803022,3804,0.4,1826,1709,10.51,362.1
Fort Macleod,4803019,3297,11.1,1440,1342,22.54,146.2
Willow Creek No. 26,4803018,6081,9.1,2115,1882,4485.05,1.4
Cowley,4803016,216,3.3,110,96,1.36,159.2
Pincher Creek,4803014,3622,-0.5,1661,1521,9.87,367.1
Pincher Creek No. 9,4803011,3240,9.3,1801,1288,3455.75,0.9
Hill Spring,4803008,168,3.7,92,73,0.96,174.8
Glenwood,4803006,272,-13.9,124,104,1.37,197.9
Cardston,4803004,3724,3.9,1335,1261,8.58,434.1
Improvement District No. 4 Waterton,4803003,158,50.5,209,67,482.54,0.3
Magrath,4803002,2481,4.5,830,803,5.88,422
Cardston County,4803001,4856,8.4,1387,1143,3358.39,1.4
Bassano,4802039,1216,0.8,595,540,5.23,232.5
Rosemary,4802038,370,-6.6,167,139,0.59,630.3
Duchess,4802036,1053,-2.9,404,378,1.93,545.9
Brooks,4802034,14924,3.3,5489,5140,18.21,819.8
Newell County,4802031,7465,-0.8,2642,2404,5810.15,1.3
Vauxhall,4802029,1286,5.2,457,436,2.71,474.7
Barnwell,4802023,978,3.3,264,257,1.5,651.4
Taber,4802022,8862,5.1,3481,3347,19.32,458.6
Taber,4802021,7447,4.9,2119,1971,4160.47,1.8
Coaldale,4802019,8771,5.3,3343,3245,13.58,645.9
Picture Butte,4802018,1930,6.6,729,689,3.02,639.7
Barons,4802016,313,-8.2,148,127,0.81,387.8
Nobleford,4802014,1438,12.5,462,446,1.69,848.6
Coalhurst,4802013,2869,7.5,1055,1025,3.08,931.3
Lethbridge,4802012,98406,6.1,42862,40225,121.12,812.5
Lethbridge County,4802011,10120,-1.1,3136,2890,2815.66,3.6
Stirling,4802009,1164,19,379,360,2.7,431.8
Raymond,4802008,4199,13.1,1383,1330,7.63,550.2
Warner,4802006,364,-2.4,201,172,1.16,313.7
Milk River,4802004,824,-0.4,436,383,2.42,340.9
Coutts,4802002,224,-8.6,152,112,1.18,190.4
Warner County No. 5,4802001,4290,8.8,1032,907,4462.2,1
Redcliff,4801018,5581,-0.3,2276,2186,16.15,345.5
Bow Island,4801014,2036,2.7,724,674,5.68,358.5
Foremost,4801009,630,16.5,222,212,2.13,296.3
Forty Mile County No. 8,4801008,3471,-3.1,994,861,7163.61,0.5
Medicine Hat,4801006,63271,0,28732,27216,111.97,565.1
Cypress County,4801003,7524,-1.8,3149,2658,12977.99,0.6
Wepuskow Sahgaiechan 165D,4718860,0,-100,0,0,41.39,0
Amiskosakahikan 210,4718855,20,-83.3,4,4,4.02,5
Kinoosao-Thomas Clark 204,4718854,,,,,0.03,
Kimosom Pwatinahk 203,4718852,875,-17.5,175,168,9.1,96.2
Little Hills 158B,4718849,0,,0,0,1.9,0
Little Hills 158,4718844,0,,0,0,5.52,0
Clearwater River Dene 222,4718839,831,1.1,230,212,28.87,28.8
Lac La Hache 220,4718832,1279,12.6,281,244,106.98,12
Grandmother's Bay 219,4718831,344,0.6,110,104,43.96,7.8
Clearwater River Dene Band 223,4718829,5,-85.7,13,1,8.76,0.6
Chicken 224,4718828,1152,-16.5,311,268,241.79,4.8
Pelican Narrows 206,4718827,336,-8.4,70,67,0.8,418.3
Southend No. 200A,4718826,139,58,39,28,3.3,42.2
Brabant Lake,4718825,27,-48.1,12,8,0.65,41.4
Fond du Lac 227,4718824,926,2.5,260,238,125.45,7.4
Chicken 225,4718823,0,,0,0,20.85,0
Southend 200,4718822,913,-0.4,218,204,40.25,22.7
Sturgeon Weir 184F,4718821,0,-100,0,0,24.17,0
Pelican Narrows 184B,4718820,1837,-6,366,343,5.27,348.9
Turnor Lake 193B,4718819,428,-10.1,152,127,3.13,136.7
Buffalo River Dene Nation,4718818,842,7.5,297,271,83.63,10.1
Canoe Lake 165,4718817,950,4.2,290,260,24.35,39
Sturgeon Weir 205,4718815,69,46.8,24,17,0.31,225.9
Wapachewunak 192D,4718814,572,5.9,189,178,19.69,29
Four Portages 157C,4718813,0,,0,0,0.03,0
Kitsakie 156B,4718812,531,-12.2,137,129,0.99,534.4
Sucker River 156C (Nemebien River 156C),4718811,384,-7.7,128,108,0.58,660.8
Lac La Ronge 156,4718809,1349,-29.9,336,312,5.85,230.4
Morin Lake 217,4718808,575,-0.3,142,131,97.98,5.9
La Plonge 192,4718807,144,-2.7,54,50,89.96,1.6
Wapaskokimaw 202,4718806,481,-20.6,96,83,0.65,739.2
Stanley 157,4718803,1883,2.3,517,489,2.41,782.5
Montreal Lake 106,4718802,1015,-8.8,283,255,57.81,17.6
Cumberland House Cree Nation 20,4718801,748,-5.9,239,218,15.35,48.7
Stony Rapids,4718100,219,-16.4,132,75,4.24,51.6
"Division No. 18, Unorganized",4718090,1871,36.4,1676,721,260794.98,0
Black Point,4718089,39,-9.3,27,15,0.69,56.4
Turnor Lake,4718075,154,3.4,60,44,5.07,30.3
La Loche,4718074,2514,2.9,814,724,15.47,162.5
Michel Village,4718072,37,-57,33,21,3.81,9.7
St. George's Hill,4718071,77,-41.2,30,26,1.68,45.8
Buffalo Narrows,4718070,1014,-8.6,449,373,68.04,14.9
Patuanak,4718069,63,-13.7,32,28,1.09,58
Île-à-la-Crosse,4718067,1425,10,496,445,23.3,61.2
Pinehouse,4718065,1013,-5.7,302,266,6.77,149.6
Sandy Bay,4718058,671,17.3,214,161,11.42,58.7
Pelican Narrows,4718055,123,-30.9,34,30,2.4,51.3
Flin Flon (Part),4718052,159,-21.7,100,73,2.01,79.3
Creighton,4718051,1203,-15.8,610,552,12.92,93.1
Denare Beach,4718049,699,-1.4,411,294,6.4,109.2
Air Ronge,4718042,1365,13.8,465,434,6,227.5
La Ronge,4718041,2521,-6.2,1034,915,16.71,150.9
Beauval,4718033,685,7,279,232,14.72,46.5
Jans Bay,4718030,116,-23.7,43,33,6.09,19
Cole Bay,4718028,194,14.1,66,59,4.86,39.9
Dore Lake,4718023,37,23.3,31,19,7.94,4.7
Green Lake,4718021,411,-4.2,220,168,121.18,3.4
Weyakwin,4718015,100,-2,36,30,5.27,19
Timber Bay,4718012,81,-1.2,35,28,5.99,13.5
Cumberland House,4718005,540,-31.7,241,192,16.11,33.5
Flying Dust First Nation 105F,4717832,0,-100,0,0,13.24,0
Flying Dust First Nation 105E,4717831,0,-100,0,0,4.14,0
Flying Dust First Nation 105D,4717830,0,-100,0,0,22.32,0
Meadow Lake 105A,4717819,10,,2,2,2.67,3.7
Gladue Lake 105B,4717817,0,,0,0,0.88,0
Eagles Lake 165C,4717816,115,25,38,37,35.83,3.2
Makwa Lake 129C,4717815,22,120,5,5,1.99,11.1
Saulteaux 159,4717813,312,-34,135,130,38.95,8
Moosomin 112B,4717812,715,-1.2,209,196,69.36,10.3
Big Island Lake Cree Territory,4717811,759,-6.1,179,156,47.23,16.1
Ministikwan 161A,4717810,156,-30,41,37,29.38,5.3
Ministikwan 161,4717809,549,-12,139,118,86.58,6.3
Makwa Lake 129,4717808,5,-66.7,2,2,17.66,0.3
Makwa Lake 129B,4717807,1109,12.9,483,265,36.75,30.2
Waterhen 130,4717806,728,8.3,244,217,78.11,9.3
Flying Dust First Nation 105,4717805,679,17.7,228,207,36.09,18.8
Thunderchild First Nation 115C,4717804,26,-23.5,12,11,7.76,3.3
Thunderchild First Nation 115B,4717803,706,0,211,191,58.33,12.1
Makaoo (Part) 120,4717802,593,14.5,156,152,19.61,30.2
Seekaskootch 119,4717801,2191,-14.9,633,564,144.06,15.2
Pierceland,4717067,605,1.2,285,251,2.74,220.8
Goodsoil,4717066,301,6.7,143,128,1.78,169.1
Beaver River No. 622,4717062,1277,5,894,496,2356.32,0.5
Loon Lake,4717058,281,-2.4,166,126,0.74,380.8
Makwa,4717057,78,-7.1,47,41,0.58,133.8
Loon Lake No. 561,4717056,836,10.6,697,350,3148.06,0.3
Dorintosh,4717055,107,-20.1,58,53,0.28,376.1
Meadow Lake No. 588,4717054,2553,3.1,1215,988,6231.27,0.4
Greig Lake,4717053,24,140,44,16,0.1,237.4
Meadow Lake,4717052,5322,-0.4,2125,1930,12.37,430.2
Glaslyn,4717048,353,-8.8,180,161,1.91,185.2
Parkdale No. 498,4717047,725,16.7,734,311,1375.62,0.5
Mervin No. 499,4717045,1711,36.2,1631,781,1581.66,1.1
Kivimaa-Moonlight Bay,4717042,137,63.1,256,74,0.57,239.2
Turtleford,4717041,503,1.4,228,213,1.66,302.2
Mervin,4717039,159,0,84,72,0.69,231.2
St. Walburg,4717036,591,-14.2,331,276,2.02,292.8
Paradise Hill,4717034,471,-4.1,231,197,2.28,206.9
Frenchman Butte No. 501,4717032,1250,-16.3,503,406,1902.15,0.7
Lloydminster (Part),4717029,11843,0.7,5002,4443,18.06,655.8
Britannia No. 502,4717028,2061,-4.3,848,744,915.11,2.3
Marshall,4717026,522,-11.7,210,198,1.15,454
Lashburn,4717024,870,-11.5,360,327,3.05,285.1
Wilton No. 472,4717022,1473,-9.6,595,539,1022.9,1.4
Waseca,4717019,113,-24.2,66,51,0.65,174.6
Maidstone,4717018,1209,2,515,462,4.39,275.1
Eldon No. 471,4717017,700,-6.7,303,277,991.15,0.7
Paynton,4717014,120,-18.9,67,62,0.82,146.8
Paynton No. 470,4717013,238,-6.7,127,104,588.62,0.4
Edam,4717011,476,-1.9,234,199,1.14,418.1
Turtle River No. 469,4717008,307,-9.4,133,117,655.72,0.5
Meota,4717006,325,6.9,213,156,1.61,202.3
Aquadeo,4717005,203,82.9,450,101,0.7,289.5
Metinota,4717004,86,7.5,97,44,0.46,187.8
Cochin,4717002,219,48,385,116,1.32,165.7
Meota No. 468,4717001,1110,19,930,465,642.11,1.7
Pelican Lake 191A,4716894,0,-100,0,0,27.81,0
Muskeg Lake 102D,4716891,0,,0,0,1.65,0
Muskeg Lake 102F,4716888,0,-100,0,0,0.15,0
Muskeg Lake 102E,4716886,0,,0,0,1.4,0
Witchekan Lake 117D,4716882,10,0,4,4,13.62,0.7
Pelican Lake 191B,4716880,75,50,16,14,35.36,2.1
Muskeg Lake 102B,4716872,0,,0,0,10.02,0
Lucky Man,4716870,0,,0,0,31.03,0
Chitek Lake 191,4716863,705,-14.1,250,149,34.83,20.2
Witchekan Lake 117,4716862,369,13.5,97,97,67.92,5.4
Saulteaux 159A,4716861,10,-61.5,9,5,21.3,0.5
Ahtahkakoop 104,4716860,1402,-4.8,435,402,173.75,8.1
Big River 118A,4716859,0,,1,0,4.01,0
Big River 118,4716858,1535,-1.2,355,340,103.76,14.8
Little Red River 106D,4716857,0,-100,0,0,23.86,0
Sturgeon Lake 101,4716856,1224,4.3,294,284,81.5,15
Mistawasis 103,4716855,741,8.8,206,196,118.03,6.3
Muskeg Lake Cree Nation 102,4716854,271,-1.1,118,96,60.13,4.5
Beardy's and Okemasis 96 & 97C,4716840,15,0,3,3,26.63,0.6
Chitek Lake,4716077,300,117.4,318,130,2.57,116.9
Big River No. 555,4716075,994,11.8,802,429,2484.13,0.4
Big River,4716072,666,-4.9,340,296,2.68,248.1
Medstead,4716063,121,-6.9,73,60,0.65,185.8
Medstead No. 497,4716062,489,-3.7,219,201,1195.14,0.4
Leoville,4716061,364,-2.9,163,151,1.14,319.9
Echo Bay,4716060,68,70,145,40,0.74,91.3
Big Shell,4716059,64,33.3,115,34,0.93,68.7
Spiritwood,4716058,966,5.8,422,395,2.91,332.5
Shell Lake,4716057,189,8,150,94,1.39,136.3
Spiritwood No. 496,4716056,1245,1.8,810,528,2371.04,0.5
Debden,4716054,327,-3,151,132,1.34,243.2
Prince Albert National Park,4716053,325,108.3,820,163,3482.22,0.1
