REF_DATE,GEO,DGUID,CDUID,Display value,Statement of operations and balance sheet,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2020,"Victoria (CY), British Columbia",2016A00055917034,,Stocks,"Other accounts receivable [6218, 6228]",Dollars,81,thousands,3,v1594081834,117.1.35,35710,,,,0
2020,"Victoria (CY), British Columbia",2016A00055917034,,Stocks,Other assets [624],Dollars,81,thousands,3,v1594081835,117.1.36,0,,,,0
2020,"Victoria (CY), British Columbia",2016A00055917034,,Stocks,Liabilities [63],Dollars,81,thousands,3,v1594081836,117.1.37,161276,,,,0
2020,"Victoria (CY), British Columbia",2016A00055917034,,Stocks,"Currency and deposits, liabilities [6312, 6322]",Dollars,81,thousands,3,v1594081837,117.1.38,0,,,,0
2020,"Victoria (CY), British Columbia",2016A00055917034,,Stocks,"Loans and Debt Securities, liabilities [6313,6323,6314,6324,6315,6325]",Dollars,81,thousands,3,v1594081838,117.1.39,62516,,,,0
2020,"Victoria (CY), British Columbia",2016A00055917034,,Stocks,"Insurance, pension and standardized guarantee schemes, liabilities [6316, 6326]",Dollars,81,thousands,3,v1594081839,117.1.40,0,,,,0
2020,"Victoria (CY), British Columbia",2016A00055917034,,Stocks,"Other accounts payable [6318, 6328]",Dollars,81,thousands,3,v1594081840,117.1.41,98761,,,,0
2020,"Victoria (CY), British Columbia",2016A00055917034,,Stocks,Other liabilities [634],Dollars,81,thousands,3,v1594081841,117.1.42,0,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Gross operating balance,Dollars,81,thousands,3,v1571493342,109.1.1,426763,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Net operating balance,Dollars,81,thousands,3,v1571493343,109.1.2,228977,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Revenue [1],Dollars,81,thousands,3,v1571493344,109.1.3,1858187,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Taxes [11],Dollars,81,thousands,3,v1571493345,109.1.4,1061367,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Taxes on property [113],Dollars,81,thousands,3,v1571493346,109.1.5,935538,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Recurrent taxes on immovable property [1131],Dollars,81,thousands,3,v1571493347,109.1.6,935538,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Taxes on financial and capital transactions [1134],Dollars,81,thousands,3,v1571493348,109.1.7,0,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,"Other taxes on property [1133, 1136]",Dollars,81,thousands,3,v1571493349,109.1.8,0,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Taxes on goods and services [114],Dollars,81,thousands,3,v1571493350,109.1.9,125829,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,"Other taxes [1161, 1162]",Dollars,81,thousands,3,v1571493351,109.1.10,0,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Social contributions [12],Dollars,81,thousands,3,v1571493352,109.1.11,0,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,"Grants, revenue [13]",Dollars,81,thousands,3,v1571493353,109.1.12,149652,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Other revenue [14],Dollars,81,thousands,3,v1571493354,109.1.13,647168,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Property income [141],Dollars,81,thousands,3,v1571493355,109.1.14,40471,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Sales of goods and services [142],Dollars,81,thousands,3,v1571493356,109.1.15,577584,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,"Fines, penalties and forfeits [143]",Dollars,81,thousands,3,v1571493357,109.1.16,16156,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Voluntary transfers other than grants [144],Dollars,81,thousands,3,v1571493358,109.1.17,0,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,"Miscellaneous revenue [145, 16]",Dollars,81,thousands,3,v1571493359,109.1.18,12957,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Expense [2],Dollars,81,thousands,3,v1571493360,109.1.19,1629210,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Compensation of employees [21],Dollars,81,thousands,3,v1571493361,109.1.20,894298,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Use of goods and services [22],Dollars,81,thousands,3,v1571493362,109.1.21,502970,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Consumption of fixed capital [23],Dollars,81,thousands,3,v1571493363,109.1.22,197786,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Interest expense [24],Dollars,81,thousands,3,v1571493364,109.1.23,34156,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Subsidies [25],Dollars,81,thousands,3,v1571493365,109.1.24,0,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,"Grants, expense [26]",Dollars,81,thousands,3,v1571493366,109.1.25,0,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Social benefits [27],Dollars,81,thousands,3,v1571493367,109.1.26,0,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,"Other expense [28, 29]",Dollars,81,thousands,3,v1571493368,109.1.27,0,,,,0
2020,"Vancouver (CY), British Columbia",2016A00055915022,,Stocks,Net worth [6],Dollars,81,thousands,3,v1571493369,109.1.28,8137849,,,,0
